id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,DroneHeading,Battery,Voltage,Current,Date,Method
722,151.228035717564,-33.9317198674529,10.1000003814697,-0.100000001490116,0.400000005960464,0.0,19.5,87,15756,-10148,"2016-08-18 12:12:31","14 speed loop test2"
723,151.228038146522,-33.9317175590308,10.1000003814697,0.800000011920929,0.300000011920929,0.0,21.3,87,15756,-10148,"2016-08-18 12:12:32","14 speed loop test2"
724,151.228047287889,-33.9316989097906,10.1000003814697,2.79999995231628,1.10000002384186,0.0,21.2,86,15740,-10180,"2016-08-18 12:12:33","14 speed loop test2"
725,151.228065051284,-33.9316618177262,10,4.80000019073486,1.70000004768372,0.0,22.3,86,15727,-10423,"2016-08-18 12:12:34","14 speed loop test2"
726,151.228087868656,-33.9316061988878,9.89999961853027,6.69999980926514,2.40000009536743,0.0,19.8,86,15708,-10641,"2016-08-18 12:12:35","14 speed loop test2"
727,151.228119149344,-33.9315337763222,10,8.60000038146973,3.29999995231628,-0.100000001490116,20.2,86,15715,-10297,"2016-08-18 12:12:36","14 speed loop test2"
728,151.22816204148,-33.9314473518223,10.1000003814697,10.1000003814697,4.0,0.0,23.1,86,15715,-10375,"2016-08-18 12:12:37","14 speed loop test2"
729,151.228209221753,-33.9313477955824,9.89999961853027,11.3999996185303,4.40000009536743,0.100000001490116,23.1,86,15675,-10751,"2016-08-18 12:12:38","14 speed loop test2"
730,151.228258848192,-33.9312389445253,10,12.1999998092651,4.69999980926514,0.0,21.6,86,15618,-11248,"2016-08-18 12:12:39","14 speed loop test2"
731,151.228309936882,-33.9311233401634,10.1000003814697,12.8999996185303,4.5,0.0,22.5,86,15586,-11802,"2016-08-18 12:12:40","14 speed loop test2"
732,151.228350772647,-33.9310149638184,10,10.1000003814697,3.20000004768372,-0.100000001490116,21.7,86,15589,-11609,"2016-08-18 12:12:41","14 speed loop test2"
