"","id","Longitude","Latitude","Altitude","VelocityX","VelocityY","VelocityZ","DroneHeading","Battery","Voltage","Current","Date","Method","VelocitySolid","Power","Velocity"
"17",8770,151.22672380059,-33.9313611922002,6.69999980926514,0,0,-3,-171.7,83,14898,-12830,"2016-08-29 13:24:44","3 ms final",3,191.14134,3
"27",8780,151.226822688055,-33.931373672493,10.1999998092651,-0.400000005960464,3,0,98.8,83,15082,-11420,"2016-08-29 13:24:54","3 ms final",3,172.23644,3.02654919087207
"28",8781,151.226854831474,-33.9313767667176,10.1999998092651,-0.400000005960464,3,0,98.6,83,15102,-10428,"2016-08-29 13:24:55","3 ms final",3,157.483656,3.02654919087207
"33",8786,151.227023195753,-33.931397020915,10.1999998092651,-0.400000005960464,3,0,98.9,83,15088,-10412,"2016-08-29 13:25:00","3 ms final",3,157.096256,3.02654919087207
"42",8795,151.227310540478,-33.9314330158577,10.1999998092651,-0.400000005960464,3,0,99.2,83,15072,-10218,"2016-08-29 13:25:09","3 ms final",3,154.005696,3.02654919087207
"43",8796,151.227343973295,-33.9314370618136,10.1000003814697,-0.400000005960464,3,0,99.2,83,15085,-9884,"2016-08-29 13:25:10","3 ms final",3,149.10014,3.02654919087207
"62",8815,151.227952591579,-33.9315147646408,10,-0.400000005960464,3,0,99,82,14983,-10395,"2016-08-29 13:25:29","3 ms final",3,155.748285,3.02654919087207
"63",8816,151.227985159673,-33.9315186043145,10,-0.300000011920929,3,0,98.9,82,14985,-10442,"2016-08-29 13:25:30","3 ms final",3,156.47337,3.01496268752244
"69",8822,151.228178069663,-33.9315431230961,10,-0.400000005960464,3,0,99.1,81,14956,-10656,"2016-08-29 13:25:36","3 ms final",3,159.371136,3.02654919087207
"70",8823,151.228210861371,-33.9315471722036,10,-0.400000005960464,3,0,99,81,14958,-10557,"2016-08-29 13:25:37","3 ms final",3,157.911606,3.02654919087207
"76",8829,151.228405606146,-33.9315709259472,9.89999961853027,-0.400000005960464,3,0,99.3,81,15003,-10308,"2016-08-29 13:25:43","3 ms final",3,154.650924,3.02654919087207
"118",8871,151.228742479596,-33.9316132982081,10.1000003814697,0.400000005960464,-3,0,-81.4,78,15135,-8979,"2016-08-29 13:26:25","3 ms final",3,135.897165,3.02654919087207
"120",8873,151.22867787169,-33.9316054570106,10,0.400000005960464,-3,0,-82,77,15106,-9301,"2016-08-29 13:26:27","3 ms final",3,140.500906,3.02654919087207
"128",8881,151.22842202162,-33.9315735346946,9.89999961853027,0.400000005960464,-3,0,-81.5,77,15116,-9244,"2016-08-29 13:26:35","3 ms final",3,139.732304,3.02654919087207
"133",8886,151.228262287143,-33.9315541643275,9.89999961853027,0.300000011920929,-3,0,-80.6,77,15149,-8864,"2016-08-29 13:26:40","3 ms final",3,134.280736,3.01496268752244
"134",8887,151.228229609854,-33.9315509364953,10,0.300000011920929,-3,0,-81.2,77,15106,-9144,"2016-08-29 13:26:41","3 ms final",3,138.129264,3.01496268752244
"173",8926,151.226975724986,-33.9313988258864,9.89999961853027,0.400000005960464,-3,0,-80.8,74,15043,-9752,"2016-08-29 13:27:20","3 ms final",3,146.699336,3.02654919087207
"194",8947,151.22672647511,-33.9313560664406,5.09999990463257,0,0,-3,14.8,69,15258,-11342,"2016-08-29 13:29:10","4 ms final",4,173.056236,3
"195",8948,151.226725920664,-33.9313559456892,8.19999980926514,0,-0.100000001490116,-3,14.2,69,15258,-11342,"2016-08-29 13:29:11","4 ms final",4,173.056236,3.00166620401037
"204",8957,151.226836735865,-33.9313728077433,9.80000019073486,-0.699999988079071,3.90000009536743,0,96.2,69,15025,-11165,"2016-08-29 13:29:20","4 ms final",4,167.754125,3.96232264299321
"206",8959,151.226926333646,-33.9313851223684,9.80000019073486,-0.699999988079071,3.90000009536743,-0.100000001490116,96.2,69,15073,-9951,"2016-08-29 13:29:22","4 ms final",4,149.991423,3.96358432829108
"210",8963,151.227100914714,-33.9314087267209,9.89999961853027,-0.5,4,0,96.5,69,15058,-10117,"2016-08-29 13:29:26","4 ms final",4,152.341786,4.03112887414927
"212",8965,151.227186457159,-33.9314205059205,10,-0.699999988079071,3.90000009536743,0,96,69,15060,-9791,"2016-08-29 13:29:28","4 ms final",4,147.45246,3.96232264299321
"213",8966,151.227229340866,-33.9314269781857,10,-0.699999988079071,3.90000009536743,0,96.1,69,15050,-9737,"2016-08-29 13:29:29","4 ms final",4,146.54185,3.96232264299321
"221",8974,151.227571489291,-33.9314755455102,10.1000003814697,-0.699999988079071,3.90000009536743,0.100000001490116,95.8,69,15057,-9341,"2016-08-29 13:29:37","4 ms final",4,140.647437,3.96358432829108
"227",8980,151.227828449064,-33.9315103628359,9.80000019073486,-0.699999988079071,3.90000009536743,0,96,68,14983,-10308,"2016-08-29 13:29:43","4 ms final",4,154.444764,3.96232264299321
"228",8981,151.227871183122,-33.9315167490789,9.89999961853027,-0.699999988079071,3.90000009536743,0,95.9,68,15000,-10210,"2016-08-29 13:29:44","4 ms final",4,153.15,3.96232264299321
"231",8984,151.227998909887,-33.9315349462532,10,-0.699999988079071,3.90000009536743,0,95.6,68,14974,-10080,"2016-08-29 13:29:47","4 ms final",4,150.93792,3.96232264299321
"252",9005,151.228893365048,-33.931662641952,9.89999961853027,-0.699999988079071,3.90000009536743,0,95.8,67,14915,-10306,"2016-08-29 13:30:08","4 ms final",4,153.71399,3.96232264299321
"255",9008,151.229023015441,-33.9316799467429,9.89999961853027,-0.699999988079071,3.90000009536743,0,95.9,67,14920,-10088,"2016-08-29 13:30:11","4 ms final",4,150.51296,3.96232264299321
"266",9019,151.229058405111,-33.9316881227536,9.69999980926514,0.899999976158142,-3.90000009536743,-0.100000001490116,-82,66,14850,-10777,"2016-08-29 13:30:22","4 ms final",4,160.03845,4.00374833140754
"267",9020,151.229014913225,-33.9316803764169,9.69999980926514,0.899999976158142,-3.90000009536743,-0.100000001490116,-80.2,66,14842,-10991,"2016-08-29 13:30:23","4 ms final",4,163.128422,4.00374833140754
"270",9023,151.228884961863,-33.9316585680694,10,0.699999988079071,-3.90000009536743,0,-79.9,66,14944,-9383,"2016-08-29 13:30:26","4 ms final",4,140.219552,3.96232264299321
"278",9031,151.228541629859,-33.9316100379376,10,0.699999988079071,-3.90000009536743,0,-80.6,66,14969,-8937,"2016-08-29 13:30:34","4 ms final",4,133.777953,3.96232264299321
"285",9038,151.228241095597,-33.9315696747933,9.89999961853027,0.699999988079071,-3.90000009536743,0,-80.4,65,14939,-9589,"2016-08-29 13:30:41","4 ms final",4,143.250071,3.96232264299321
"302",9055,151.227515369777,-33.9314663825051,10,0.699999988079071,-3.90000009536743,0,-80.4,64,14940,-9304,"2016-08-29 13:30:58","4 ms final",4,139.00176,3.96232264299321
"305",9058,151.227387971328,-33.9314482395109,10,0.699999988079071,-3.90000009536743,0,-80.2,64,14907,-9558,"2016-08-29 13:31:01","4 ms final",4,142.481106,3.96232264299321
"306",9059,151.227345636237,-33.9314415211291,10,0.699999988079071,-3.90000009536743,0,-80.1,64,14888,-9729,"2016-08-29 13:31:02","4 ms final",4,144.845352,3.96232264299321
"312",9065,151.227090825849,-33.9314047542212,10,0.699999988079071,-3.90000009536743,0,-80.8,64,14902,-9443,"2016-08-29 13:31:08","4 ms final",4,140.719586,3.96232264299321
"313",9066,151.227048349005,-33.9313980769805,10,0.699999988079071,-3.90000009536743,0,-80.6,64,14883,-9929,"2016-08-29 13:31:09","4 ms final",4,147.773307,3.96232264299321
"314",9067,151.227005184161,-33.9313922271288,10,0.5,-4,0,-79.6,64,14882,-9777,"2016-08-29 13:31:10","4 ms final",4,145.501314,4.03112887414927
"319",9072,151.226790022084,-33.9313646161824,9.89999961853027,0.5,-4,0,-79.7,63,14900,-9661,"2016-08-29 13:31:15","4 ms final",4,143.9489,4.03112887414927
"348",9101,151.226847153538,-33.9313727346009,10.1999998092651,-0.899999976158142,4.90000009536743,0,99.3,58,14814,-11069,"2016-08-29 13:33:21","5 ms final",5,163.976166,4.98196757232376
"349",9102,151.226899922209,-33.9313803764189,10.1999998092651,-1.10000002384186,4.90000009536743,0,99.6,58,14834,-10608,"2016-08-29 13:33:22","5 ms final",5,157.359072,5.02195191006972
"350",9103,151.226953488784,-33.9313907682173,10.1999998092651,-1.10000002384186,4.90000009536743,0,99.3,57,14814,-10535,"2016-08-29 13:33:23","5 ms final",5,156.06549,5.02195191006972
"351",9104,151.227006536612,-33.9314001106837,10.1999998092651,-1,4.90000009536743,0,99.7,57,14823,-10657,"2016-08-29 13:33:24","5 ms final",5,157.968711,5.00099999346139
"356",9109,151.227273518956,-33.9314460165268,10.1999998092651,-0.899999976158142,4.90000009536743,0,99.7,57,14818,-10189,"2016-08-29 13:33:29","5 ms final",5,150.980602,4.98196757232376
"357",9110,151.227327300596,-33.9314548509828,10.1999998092651,-0.899999976158142,4.90000009536743,0,99.4,57,14820,-10061,"2016-08-29 13:33:30","5 ms final",5,149.10402,4.98196757232376
"358",9111,151.227380833192,-33.9314642502492,10.1999998092651,-1,4.90000009536743,0,99.5,57,14824,-10288,"2016-08-29 13:33:31","5 ms final",5,152.509312,5.00099999346139
"360",9113,151.227486932612,-33.9314826030451,10.1999998092651,-1,4.90000009536743,0,99.8,57,14812,-10519,"2016-08-29 13:33:33","5 ms final",5,155.807428,5.00099999346139
"361",9114,151.227540213784,-33.9314917343075,10.1000003814697,-0.899999976158142,4.90000009536743,0,99.5,57,14803,-10302,"2016-08-29 13:33:34","5 ms final",5,152.500506,4.98196757232376
"362",9115,151.227593086365,-33.9315003032959,10.1000003814697,-0.899999976158142,4.90000009536743,0,99.8,57,14791,-10572,"2016-08-29 13:33:35","5 ms final",5,156.370452,4.98196757232376
"363",9116,151.227646157956,-33.931509023575,10,-0.899999976158142,4.90000009536743,0,99.1,57,14773,-10715,"2016-08-29 13:33:36","5 ms final",5,158.292695,4.98196757232376
"364",9117,151.227699012969,-33.9315177268796,10.1000003814697,-0.899999976158142,4.90000009536743,0,99.5,57,14787,-10575,"2016-08-29 13:33:37","5 ms final",5,156.372525,4.98196757232376
"365",9118,151.227752168003,-33.9315271388757,10.1999998092651,-1,4.90000009536743,0,100.1,57,14816,-9771,"2016-08-29 13:33:38","5 ms final",5,144.767136,5.00099999346139
"366",9119,151.227805865716,-33.9315363307364,10.1000003814697,-0.899999976158142,4.90000009536743,0,99.8,57,14826,-9726,"2016-08-29 13:33:39","5 ms final",5,144.197676,4.98196757232376
"367",9120,151.227859114127,-33.9315449750564,10.1000003814697,-0.899999976158142,4.90000009536743,0,99.5,57,14826,-9726,"2016-08-29 13:33:40","5 ms final",5,144.197676,4.98196757232376
"369",9122,151.227964729873,-33.9315627001677,10.1000003814697,-0.899999976158142,4.90000009536743,0,99.4,57,14800,-10091,"2016-08-29 13:33:42","5 ms final",5,149.3468,4.98196757232376
"370",9123,151.22801769919,-33.9315714400389,10,-0.899999976158142,4.90000009536743,0,99.6,57,14805,-9953,"2016-08-29 13:33:43","5 ms final",5,147.354165,4.98196757232376
"371",9124,151.228070976735,-33.931579796531,10.1000003814697,-0.899999976158142,4.90000009536743,0,99.9,57,14806,-9894,"2016-08-29 13:33:44","5 ms final",5,146.490564,4.98196757232376
"372",9125,151.22812462606,-33.9315887635906,10.1000003814697,-0.899999976158142,4.90000009536743,0,99.5,57,14801,-9863,"2016-08-29 13:33:45","5 ms final",5,145.982263,4.98196757232376
"373",9126,151.228177994004,-33.9315978504091,10,-1,4.90000009536743,0,99.8,57,14787,-10081,"2016-08-29 13:33:46","5 ms final",5,149.067747,5.00099999346139
"374",9127,151.228231790111,-33.9316071745209,10,-0.899999976158142,4.90000009536743,0,99.6,57,14785,-10078,"2016-08-29 13:33:47","5 ms final",5,149.00323,4.98196757232376
"375",9128,151.228285358047,-33.9316159740894,10.1000003814697,-0.899999976158142,4.90000009536743,0,99.8,56,14785,-10036,"2016-08-29 13:33:48","5 ms final",5,148.38226,4.98196757232376
"376",9129,151.228338798361,-33.9316247205591,10.1000003814697,-0.899999976158142,4.90000009536743,0,99.6,56,14778,-10111,"2016-08-29 13:33:49","5 ms final",5,149.420358,4.98196757232376
"380",9133,151.228544066054,-33.9316581983024,9.89999961853027,-0.899999976158142,4.90000009536743,0,99.7,56,14746,-10547,"2016-08-29 13:33:53","5 ms final",5,155.526062,4.98196757232376
"381",9134,151.22860278796,-33.9316679279253,10,-1.10000002384186,4.90000009536743,0,99.6,56,14731,-10945,"2016-08-29 13:33:54","5 ms final",5,161.230795,5.02195191006972
"383",9136,151.228708511405,-33.931687183052,10,-1.10000002384186,4.90000009536743,0,99.6,56,14731,-10898,"2016-08-29 13:33:56","5 ms final",5,160.538438,5.02195191006972
"384",9137,151.228762048922,-33.9316960800505,10,-0.899999976158142,4.90000009536743,0,99.3,56,14746,-10297,"2016-08-29 13:33:57","5 ms final",5,151.839562,4.98196757232376
"390",9143,151.229079028345,-33.9317497138353,10.1000003814697,-1.10000002384186,4.90000009536743,0,99,56,14753,-10398,"2016-08-29 13:34:03","5 ms final",5,153.401694,5.02195191006972
