"","id","Longitude","Latitude","Altitude","VelocityX","VelocityY","VelocityZ","DroneHeading","Battery","Voltage","Current","Date","Method","VelocitySolid","Power","Velocity"
"27",520,151.227572666141,-33.9315626294936,10.5,-0.400000005960464,3,0,98.2,91,15624,-10819,"2016-08-23 14:00:06","3ms loop long",3,169.036056,3.02654919087207
"48",541,151.228251059332,-33.9316421278782,10.5,-0.699999988079071,2.90000009536743,-0.100000001490116,97.2,90,15576,-10227,"2016-08-23 14:00:27","3ms loop long",3,159.295752,2.98496240122716
"51",544,151.228338990009,-33.9316556051447,10.3000001907349,-0.200000002980232,3,0,95.2,90,15771,-7575,"2016-08-23 14:00:30","3ms loop long",3,119.465325,3.00665927587282
"52",545,151.228371328041,-33.9316574296104,10.3999996185303,-0.300000011920929,3,0.100000001490116,95.1,90,15709,-8919,"2016-08-23 14:00:31","3ms loop long",3,140.108571,3.01662062703459
"58",551,151.228570065065,-33.9316861078703,10.3999996185303,-0.200000002980232,3,0.100000001490116,95.4,90,15493,-11159,"2016-08-23 14:00:37","3ms loop long",3,172.886387,3.00832179154593
"65",558,151.228792679335,-33.9317169484292,9.89999961853027,-0.300000011920929,3,-0.100000001490116,96.6,89,15652,-9251,"2016-08-23 14:00:44","3ms loop long",3,144.796652,3.01662062703459
"68",561,151.228889432038,-33.9317257778645,9.89999961853027,-0.400000005960464,3,0,96.1,89,15687,-9207,"2016-08-23 14:00:47","3ms loop long",3,144.430209,3.02654919087207
"82",575,151.229063885751,-33.9317500546077,9.60000038146973,0.800000011920929,-2.90000009536743,-0.100000001490116,-81.7,88,15554,-10456,"2016-08-23 14:01:01","3ms loop long",3,162.632624,3.00998348375911
"83",576,151.229029526983,-33.9317443823929,9.60000038146973,0.699999988079071,-2.90000009536743,-0.200000002980232,-81,88,15454,-11594,"2016-08-23 14:01:02","3ms loop long",3,179.173676,2.98998336745105
"87",580,151.22890428261,-33.9317225309158,9.60000038146973,0.699999988079071,-2.90000009536743,-0.200000002980232,-79.6,88,15565,-9467,"2016-08-23 14:01:06","3ms loop long",3,147.353855,2.98998336745105
"94",587,151.228684412234,-33.9316924515898,9.69999980926514,0.400000005960464,-3,0,-79.2,88,15680,-7958,"2016-08-23 14:01:13","3ms loop long",3,124.78144,3.02654919087207
"102",595,151.228427140244,-33.9316583188229,9.69999980926514,0.400000005960464,-3,-0.100000001490116,-80.2,87,15573,-9708,"2016-08-23 14:01:21","3ms loop long",3,151.182684,3.02820078678188
"118",611,151.227912384022,-33.9315893942959,10,0.300000011920929,-3,0,-80.3,87,15490,-10235,"2016-08-23 14:01:37","3ms loop long",3,158.54015,3.01496268752244
"122",615,151.227782478893,-33.9315684049496,10.1000003814697,0.400000005960464,-3,0,-81.1,86,15630,-8527,"2016-08-23 14:01:41","3ms loop long",3,133.27701,3.02654919087207
"123",616,151.227749659348,-33.9315632266842,10.1000003814697,0.400000005960464,-3,0,-80.2,86,15719,-7299,"2016-08-23 14:01:42","3ms loop long",3,114.732981,3.02654919087207
"124",617,151.22771739862,-33.931558690847,10.1000003814697,0.400000005960464,-3,0.100000001490116,-79.6,86,15726,-7489,"2016-08-23 14:01:43","3ms loop long",3,117.772014,3.02820078678188
"125",618,151.227684318385,-33.9315538014277,10.1999998092651,0.400000005960464,-3,0.100000001490116,-79.7,86,15650,-8450,"2016-08-23 14:01:44","3ms loop long",3,132.2425,3.02820078678188
"133",626,151.227637725161,-33.9315427915448,9.80000019073486,-0.800000011920929,2.90000009536743,-0.100000001490116,100.4,86,15284,-12859,"2016-08-23 14:01:52","3ms loop long",3,196.536956,3.00998348375911
"134",627,151.227669298279,-33.9315473884212,9.89999961853027,-0.699999988079071,2.90000009536743,0,99.5,85,15425,-11078,"2016-08-23 14:01:53","3ms loop long",3,170.87815,2.98328686794311
"137",630,151.227769031123,-33.9315639886579,10.3000001907349,-0.699999988079071,2.90000009536743,0.100000001490116,99.4,85,15406,-11389,"2016-08-23 14:01:56","3ms loop long",3,175.458934,2.98496240122716
"139",632,151.22783345772,-33.9315777096981,10.3000001907349,-0.699999988079071,2.90000009536743,0.100000001490116,100.2,85,15463,-10356,"2016-08-23 14:01:58","3ms loop long",3,160.134828,2.98496240122716
"146",639,151.228056061732,-33.9316093845819,10.1000003814697,-0.300000011920929,3,0,99.5,85,15513,-9619,"2016-08-23 14:02:05","3ms loop long",3,149.219547,3.01496268752244
"150",643,151.228184396037,-33.9316256660387,10.1999998092651,-0.400000005960464,3,0,99.3,85,15430,-10746,"2016-08-23 14:02:09","3ms loop long",3,165.81078,3.02654919087207
"161",654,151.228538727525,-33.9316775799496,10,-0.400000005960464,3,0,99.2,84,15471,-9942,"2016-08-23 14:02:20","3ms loop long",3,153.812682,3.02654919087207
"164",657,151.228632781754,-33.9316899711745,9.89999961853027,-0.400000005960464,3,0,99.2,84,15495,-9496,"2016-08-23 14:02:23","3ms loop long",3,147.14052,3.02654919087207
"165",658,151.228666117537,-33.9316942084248,9.89999961853027,-0.400000005960464,3,0,99.5,84,15515,-9130,"2016-08-23 14:02:24","3ms loop long",3,141.65195,3.02654919087207
"169",662,151.228794517664,-33.9317108333959,10.1000003814697,-0.300000011920929,3,0,99.3,83,15505,-9372,"2016-08-23 14:02:28","3ms loop long",3,145.31286,3.01496268752244
"184",677,151.229037953414,-33.9317448975389,10,0.699999988079071,-2.90000009536743,0,-82.3,83,15410,-10572,"2016-08-23 14:02:43","3ms loop long",3,162.91452,2.98328686794311
"186",679,151.228975267366,-33.9317358474914,9.69999980926514,0.699999988079071,-2.90000009536743,-0.100000001490116,-79.5,82,15418,-10302,"2016-08-23 14:02:45","3ms loop long",3,158.836236,2.98496240122716
"201",694,151.228492491816,-33.9316665368757,9.80000019073486,0.400000005960464,-3,-0.100000001490116,-80,81,15385,-10136,"2016-08-23 14:03:00","3ms loop long",3,155.94236,3.02820078678188
"207",700,151.22829902152,-33.9316418593954,9.80000019073486,0.400000005960464,-3,0,-80.1,81,15447,-9092,"2016-08-23 14:03:06","3ms loop long",3,140.444124,3.02654919087207
