id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,DroneHeading,Battery,Voltage,Current,Date,Method
9951,151.226870064575,-33.9313533435991,9.39999961853027,-4.69999980926514,-0.200000002980232,0.0,-83.5,0,0,0,"2016-08-29 14:10:16",circle
9952,151.226852127598,-33.9313966535302,9.39999961853027,-4.09999990463257,-2.29999995231628,0.0,-57.1,37,14490,-10822,"2016-08-29 14:10:17",circle
9953,151.226812967231,-33.9314297508092,9.5,-2.59999990463257,-3.90000009536743,0.0,-31.4,37,14490,-10822,"2016-08-29 14:10:18",circle
9954,151.226760925112,-33.9314437728802,9.5,-0.5,-4.69999980926514,0.0,-4.4,37,14446,-11913,"2016-08-29 14:10:19",circle
9955,151.226706085691,-33.9314365996715,9.39999961853027,1.39999997615814,-4.5,0.0,22.8,37,14438,-11919,"2016-08-29 14:10:20",circle
9956,151.226661048644,-33.9314107207237,9.5,3.40000009536743,-3.29999995231628,0.0,48.6,37,14446,-11670,"2016-08-29 14:10:21",circle
9957,151.226634383191,-33.9313704196234,9.5,4.5,-1.5,0.0,75.7,37,14470,-11701,"2016-08-29 14:10:22",circle
9958,151.226631505174,-33.9313250938778,9.60000038146973,4.80000019073486,0.400000005960464,0.0,101.3,37,14454,-11104,"2016-08-29 14:10:23",circle
9959,151.226652939923,-33.931283350842,9.5,3.90000009536743,2.70000004768372,0.0,127.7,37,14437,-12300,"2016-08-29 14:10:24",circle
9960,151.226695173257,-33.9312539296568,9.39999961853027,2.40000009536743,4.09999990463257,0.0,152.3,37,14448,-11753,"2016-08-29 14:10:25",circle
9961,151.22674876833,-33.931242266782,9.39999961853027,0.300000011920929,4.69999980926514,0.0,179.0,36,14511,-10770,"2016-08-29 14:10:26",circle
9962,151.226802177543,-33.9312519545023,9.5,-1.79999995231628,4.30000019073486,0.0,-154.1,36,14495,-10109,"2016-08-29 14:10:27",circle
9963,151.226844812525,-33.9312805926183,9.5,-3.59999990463257,3.09999990463257,0.0,-127.5,36,14496,-10587,"2016-08-29 14:10:28",circle
9964,151.22686848129,-33.9313213371935,9.5,-4.5,1.10000002384186,0.0,-101.2,36,14473,-10695,"2016-08-29 14:10:29",circle
9965,151.226867092838,-33.9313668427993,9.39999961853027,-4.59999990463257,-0.899999976158142,0.0,-76.0,36,14452,-11313,"2016-08-29 14:10:30",circle
9966,151.226843544606,-33.9314075724754,9.5,-3.70000004768372,-2.79999995231628,0.0,-49.0,36,14451,-11988,"2016-08-29 14:10:31",circle
9967,151.226799251131,-33.9314347578925,9.5,-2.0,-4.40000009536743,0.0,-21.6,36,14451,-11988,"2016-08-29 14:10:32",circle
9968,151.226743464923,-33.9314436519906,9.5,0.0,-4.80000019073486,0.0,1.9,36,14469,-11277,"2016-08-29 14:10:33",circle
9969,151.226689708985,-33.9314312225324,9.39999961853027,2.20000004768372,-4.30000019073486,0.0,29.1,36,14472,-10945,"2016-08-29 14:10:34",circle
9970,151.226649120831,-33.931398745275,9.30000019073486,3.90000009536743,-2.70000004768372,-0.100000001490116,57.4,36,14428,-12161,"2016-08-29 14:10:35",circle
9971,151.226630975784,-33.9313551572628,9.5,4.69999980926514,-0.699999988079071,0.0,85.0,36,14463,-10931,"2016-08-29 14:10:36",circle
9972,151.226637588866,-33.9313091245468,9.5,4.59999990463257,1.29999995231628,0.0,111.4,36,14467,-11216,"2016-08-29 14:10:37",circle
9973,151.22666805197,-33.9312708349284,9.39999961853027,3.40000009536743,3.40000009536743,0.0,137.2,36,14468,-11141,"2016-08-29 14:10:38",circle
9974,151.226716160496,-33.9312479417148,9.5,1.60000002384186,4.5,0.0,164.3,36,14473,-10430,"2016-08-29 14:10:39",circle
9975,151.226771809247,-33.9312446990059,9.5,-0.600000023841858,4.69999980926514,0.0,-169.0,35,14472,-10624,"2016-08-29 14:10:40",circle
