_id,Longitude,Latitude,Altitude,Battery,Voltage,Current,Date,Method
1,151.228436591003,-33.9316636254873,0,0,0,0,"2016-08-15 10:29:14",Test1
2,151.228436386128,-33.9316639298611,0,87,16691,-818,"2016-08-15 10:29:16",Test1
3,151.228436301002,-33.931664348355,0,87,16690,-835,"2016-08-15 10:29:18",Test1
4,151.228436280991,-33.9316646325681,0,87,16691,-820,"2016-08-15 10:29:20",Test1
5,151.228436289208,-33.9316649202204,0,87,16689,-814,"2016-08-15 10:29:22",Test1
6,151.228436306453,-33.9316650895252,0,87,16679,-983,"2016-08-15 10:29:24",Test1
7,151.228437609062,-33.9316665438802,1,87,16087,-10267,"2016-08-15 10:29:26",Test1
8,151.228437399637,-33.9316676820421,4.69999980926514,87,15924,-12816,"2016-08-15 10:29:28",Test1
9,151.228438989945,-33.9316698284199,5.69999980926514,87,15985,-13008,"2016-08-15 10:29:30",Test1
10,151.228435233907,-33.9316711200124,5.30000019073486,87,16005,-9602,"2016-08-15 10:29:32",Test1
11,151.228437757232,-33.9316677281667,5.09999990463257,87,15955,-10019,"2016-08-15 10:29:34",Test1
12,151.228449580994,-33.9316086337538,5.09999990463257,87,15905,-10560,"2016-08-15 10:29:36",Test1
13,151.228466338653,-33.9315131548984,5,87,15908,-10251,"2016-08-15 10:29:38",Test1
14,151.228484609984,-33.9314250235974,5.09999990463257,87,16038,-7823,"2016-08-15 10:29:40",Test1
15,151.228502568843,-33.9313353551758,5.09999990463257,87,16024,-8159,"2016-08-15 10:29:42",Test1
16,151.228511085347,-33.9313080960324,5.30000019073486,87,16044,-7782,"2016-08-15 10:29:44",Test1
17,151.228509456123,-33.9313160381286,5.30000019073486,87,15975,-8847,"2016-08-15 10:29:46",Test1
18,151.22850702536,-33.9313173552582,5.30000019073486,87,15837,-10240,"2016-08-15 10:29:48",Test1
19,151.228458079575,-33.9313081990049,5.09999990463257,87,15823,-10122,"2016-08-15 10:29:50",Test1
20,151.228350635434,-33.9312811698251,5.09999990463257,87,15848,-10124,"2016-08-15 10:29:52",Test1
21,151.228244020436,-33.9312591503683,5.19999980926514,87,15965,-7844,"2016-08-15 10:29:54",Test1
22,151.228177343173,-33.9312453773106,5.19999980926514,87,15968,-8476,"2016-08-15 10:29:56",Test1
23,151.228181583974,-33.9312509520222,5.5,87,15903,-7881,"2016-08-15 10:29:58",Test1
24,151.228185473748,-33.9313063781329,5.09999990463257,87,15872,-9363,"2016-08-15 10:30:00",Test1
25,151.228181690671,-33.9313950951982,5,86,15813,-10445,"2016-08-15 10:30:02",Test1
26,151.228177213354,-33.9314769602782,5.19999980926514,86,15814,-9850,"2016-08-15 10:30:04",Test1
27,151.228181538659,-33.9314913620645,5.30000019073486,86,15803,-9762,"2016-08-15 10:30:06",Test1
28,151.228215003734,-33.9314851836061,5,86,15795,-10078,"2016-08-15 10:30:08",Test1
29,151.228314968761,-33.9314935228311,5,86,15767,-10409,"2016-08-15 10:30:10",Test1
30,151.228419606887,-33.9315014593899,5,86,15785,-9897,"2016-08-15 10:30:12",Test1
31,151.228499456875,-33.931508601996,5,86,15788,-9715,"2016-08-15 10:30:14",Test1
32,151.228509391123,-33.9315100213302,4.90000009536743,86,15700,-10605,"2016-08-15 10:30:16",Test1
33,151.228517320649,-33.9315112147165,4.80000019073486,86,15768,-10064,"2016-08-15 10:30:18",Test1
34,151.228520889878,-33.9315112787818,4.69999980926514,86,15757,-10156,"2016-08-15 10:30:20",Test1
35,151.228519055658,-33.931511208878,4.69999980926514,86,15734,-10333,"2016-08-15 10:30:22",Test1
36,151.228517759703,-33.9315116045753,4.69999980926514,86,15728,-10328,"2016-08-15 10:30:24",Test1
37,151.22851698651,-33.9315110217754,4.80000019073486,86,15749,-9954,"2016-08-15 10:30:26",Test1
