id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,Wifi1,Wifi2,Wifi3,Wifi4,Wifi5,Wifi6,Wifi7,Wifi8,DroneHeading,Battery,Voltage,Current,Date,Method
237,151.227810161428,-33.9310767705424,10,-0.300000011920929,4.69999980926514,0.0,-99,-101,-100,-101,-100,-92,-102,-108,100.1,78,15376,-11603,"2016-10-18 14:43:08.341",0.1
238,151.227815356853,-33.931077709989,10,-0.699999988079071,4.59999990463257,0.0,-99,-101,-100,-101,-100,-92,-102,-108,99.9,78,15376,-11603,"2016-10-18 14:43:08.428",0.1
239,151.227820203329,-33.9310790065579,10,-0.899999976158142,4.59999990463257,0.0,-99,-101,-100,-101,-100,-92,-102,-108,99.9,78,15376,-11603,"2016-10-18 14:43:08.528",0.1
240,151.22782505106,-33.9310799854763,10,-1.20000004768372,4.59999990463257,0.0,-99,-101,-100,-101,-100,-92,-102,-108,99.9,78,15376,-11603,"2016-10-18 14:43:08.629",0.1
241,151.227830091024,-33.9310811869189,10,-1.29999995231628,4.59999990463257,0.100000001490116,-99,-101,-100,-101,-100,-92,-102,-108,99.9,78,15376,-11603,"2016-10-18 14:43:08.729",0.1
242,151.227835250228,-33.931083003982,10,-1.0,4.69999980926514,0.100000001490116,-99,-101,-100,-101,-100,-92,-102,-108,100.3,78,15376,-11603,"2016-10-18 14:43:08.830",0.1
243,151.227840513623,-33.9310838395002,10,-0.699999988079071,4.90000009536743,0.0,-99,-101,-100,-101,-100,-92,-102,-108,100.2,78,15376,-11603,"2016-10-18 14:43:08.929",0.1
244,151.227845851667,-33.9310842741639,10,-0.200000002980232,4.90000009536743,0.0,-100,-101,-92,-101,-100,-97,-102,-108,100.1,78,15376,-11603,"2016-10-18 14:43:09.030",0.1
245,151.227851400004,-33.9310842598937,10,0.200000002980232,5.0,0.0,-100,-101,-92,-101,-100,-97,-102,-108,100.1,78,15376,-11603,"2016-10-18 14:43:09.130",0.1
246,151.227856802123,-33.9310840808974,10,0.400000005960464,5.09999990463257,0.0,-100,-101,-92,-101,-100,-97,-102,-108,99.8,78,15330,-10686,"2016-10-18 14:43:09.229",0.1
247,151.227862363161,-33.9310835396578,10.1000003814697,0.600000023841858,5.0,-0.100000001490116,-100,-101,-92,-101,-100,-97,-102,-108,99.3,78,15330,-10686,"2016-10-18 14:43:09.329",0.1
248,151.227868132911,-33.9310831032313,10.1000003814697,0.5,4.90000009536743,0.0,-100,-101,-92,-101,-100,-97,-102,-108,98.4,78,15330,-10686,"2016-10-18 14:43:09.429",0.1
249,151.227873445662,-33.9310825687761,10.1000003814697,0.5,4.69999980926514,0.0,-100,-101,-92,-101,-100,-97,-102,-108,98.3,78,15330,-10686,"2016-10-18 14:43:09.530",0.1
250,151.227878470028,-33.9310820878435,10.1000003814697,0.200000002980232,4.40000009536743,0.100000001490116,-100,-101,-92,-101,-100,-97,-102,-108,98.4,78,15330,-10686,"2016-10-18 14:43:09.630",0.1
251,151.227883184173,-33.9310824084894,10,0.100000001490116,4.0,0.100000001490116,-100,-101,-92,-101,-100,-97,-102,-108,98.4,78,15330,-10686,"2016-10-18 14:43:09.730",0.1
252,151.227883184173,-33.9310824084894,10,0.100000001490116,4.0,0.100000001490116,-100,-101,-92,-101,-100,-97,-102,-108,98.4,78,15330,-10686,"2016-10-18 14:43:09.830",0.1
253,151.227891456251,-33.9310818322271,10,0.0,3.29999995231628,0.100000001490116,-100,-101,-92,-101,-100,-97,-102,-108,98.2,78,15330,-10686,"2016-10-18 14:43:09.931",0.1
254,151.227895353881,-33.9310812935287,10,0.0,3.09999990463257,0.0,-100,-101,-96,-100,-100,-92,-102,-108,98.2,78,15330,-10686,"2016-10-18 14:43:10.031",0.1
255,151.227898531869,-33.9310813059041,10,0.0,2.70000004768372,0.0,-100,-101,-96,-100,-100,-92,-102,-108,98.2,78,15330,-10686,"2016-10-18 14:43:10.131",0.1
