id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,Wifi1,Wifi2,Wifi3,Wifi4,Wifi5,Wifi6,Wifi7,Wifi8,DroneHeading,Battery,Voltage,Current,Date,Method
228,151.228690137811,-33.9310766152923,10.1000003814697,-0.699999988079071,9.39999961853027,-0.100000001490116,-102,-102,-102,-94,-101,-102,-102,-108,95.5,67,15224,-9071,"2016-10-19 14:14:45.313",0.1
229,151.228700430545,-33.9310772244311,10.1000003814697,-0.699999988079071,9.39999961853027,0.0,-100,-102,-96,-102,-102,-85,-102,-108,94.2,67,15224,-9071,"2016-10-19 14:14:45.417",0.1
230,151.228709994616,-33.9310783053249,10.1000003814697,-1.10000002384186,9.30000019073486,0.100000001490116,-100,-102,-96,-102,-102,-85,-102,-108,93.6,67,15224,-9071,"2016-10-19 14:14:45.518",0.1
231,151.228720194489,-33.9310793443149,10.1000003814697,-1.20000004768372,9.39999961853027,0.0,-100,-102,-96,-102,-102,-85,-102,-108,95.9,67,15224,-9071,"2016-10-19 14:14:45.614",0.1
232,151.228730451938,-33.9310803633819,10.1000003814697,-1.20000004768372,9.39999961853027,0.100000001490116,-100,-102,-96,-102,-102,-85,-102,-108,97.6,67,15224,-9071,"2016-10-19 14:14:45.714",0.1
233,151.228740469435,-33.9310820492077,10.1000003814697,-1.0,9.5,0.100000001490116,-100,-102,-96,-102,-102,-85,-102,-108,98.5,67,15224,-9071,"2016-10-19 14:14:45.820",0.1
234,151.228750816703,-33.9310825527385,10.1000003814697,-0.5,9.60000038146973,0.0,-100,-102,-96,-102,-102,-85,-102,-108,98.8,67,15253,-9018,"2016-10-19 14:14:45.921",0.1
235,151.228761372076,-33.9310828995139,10.1000003814697,-0.100000001490116,9.69999980926514,0.0,-100,-102,-96,-102,-102,-85,-102,-108,98.0,67,15253,-9018,"2016-10-19 14:14:46.016",0.1
236,151.228771853075,-33.9310827237314,10.1000003814697,0.100000001490116,9.80000019073486,0.0,-100,-102,-96,-102,-102,-85,-102,-108,97.6,67,15253,-9018,"2016-10-19 14:14:46.117",0.1
237,151.228782606391,-33.9310824534387,10.1000003814697,0.300000011920929,9.89999961853027,0.0,-100,-102,-96,-102,-102,-85,-102,-108,97.2,67,15253,-9018,"2016-10-19 14:14:46.217",0.1
