id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,Wifi1,Wifi2,Wifi3,Wifi4,Wifi5,Wifi6,Wifi7,Wifi8,DroneHeading,Battery,Voltage,Current,Date,Method
174,151.227543596987,-33.9311507326849,10,-1.79999995231628,4.30000019073486,0.0,-101,-101,-98,-100,-99,-102,-102,-108,105.2,63,14998,-11695,"2016-10-07 15:19:32.259",0.1
175,151.22754825886,-33.9311524787996,10,-1.89999997615814,4.19999980926514,0.0,-101,-101,-98,-100,-99,-102,-102,-108,105.4,63,14998,-11695,"2016-10-07 15:19:32.358",0.1
176,151.227553101347,-33.9311536677877,10,-1.5,4.30000019073486,0.0,-101,-102,-100,-100,-95,-100,-102,-108,105.8,63,15005,-11943,"2016-10-07 15:19:32.459",0.1
177,151.22755786234,-33.9311549985672,10,-1.29999995231628,4.40000009536743,0.0,-101,-102,-100,-100,-95,-100,-102,-108,105.8,63,15005,-11943,"2016-10-07 15:19:32.560",0.1
178,151.227562432909,-33.9311563294923,9.89999961853027,-1.20000004768372,4.40000009536743,0.0,-101,-102,-100,-100,-95,-100,-102,-108,105.3,63,15005,-11943,"2016-10-07 15:19:32.660",0.1
179,151.227567464556,-33.9311567711163,9.89999961853027,-1.29999995231628,4.30000019073486,0.100000001490116,-101,-102,-100,-100,-95,-100,-102,-108,105.0,63,15005,-11943,"2016-10-07 15:19:32.760",0.1
180,151.227571946063,-33.9311582143147,9.89999961853027,-1.70000004768372,4.19999980926514,0.0,-101,-102,-100,-100,-95,-100,-102,-108,105.0,63,15005,-11943,"2016-10-07 15:19:32.872",0.1
181,151.227576547089,-33.9311599131367,9.89999961853027,-2.0,4.19999980926514,0.0,-101,-102,-100,-100,-95,-100,-102,-108,105.0,63,15005,-11943,"2016-10-07 15:19:32.961",0.1
182,151.227581020861,-33.9311619311224,9.89999961853027,-2.20000004768372,4.09999990463257,0.0,-101,-102,-100,-100,-95,-100,-102,-108,105.1,63,15005,-11943,"2016-10-07 15:19:33.061",0.1
183,151.227585559565,-33.9311640521852,9.89999961853027,-2.40000009536743,4.09999990463257,0.0,-101,-102,-100,-100,-95,-100,-102,-108,105.3,63,15005,-11943,"2016-10-07 15:19:33.161",0.1
