id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,Wifi1,Wifi2,Wifi3,Wifi4,Wifi5,Wifi6,Wifi7,Wifi8,DroneHeading,Battery,Voltage,Current,Date,Method
211,151.226891685819,-33.9311690426523,10.1000003814697,0.0,0.0,0.0,0,0,0,0,0,0,0,0,98.9,0,0,0,"2016-10-06 14:18:27.979",
212,151.226891786119,-33.931169109225,10.1000003814697,0.0,0.0,0.0,0,0,0,0,0,0,0,0,99.2,0,0,0,"2016-10-06 14:18:28.070",
213,151.226891888442,-33.931169125623,10.1000003814697,0.0,0.0,0.0,0,0,0,0,0,0,0,0,99.4,0,0,0,"2016-10-06 14:18:28.171",
214,151.226891850715,-33.931169161794,10.1000003814697,0.0,0.0,0.0,0,0,0,0,0,0,0,0,99.7,0,0,0,"2016-10-06 14:18:28.271",
215,151.226891971134,-33.9311691541362,10.1000003814697,0.0,0.0,0.0,-100,-101,-101,-98,-100,-98,-100,-108,99.8,0,0,0,"2016-10-06 14:18:28.371",
216,151.226891993899,-33.9311691275111,10.1000003814697,0.0,0.0,0.0,-100,-101,-101,-98,-100,-98,-100,-108,99.6,0,0,0,"2016-10-06 14:18:28.473",
217,151.226892153235,-33.9311692052737,10.1000003814697,0.0,0.0,0.0,-100,-101,-101,-98,-100,-98,-100,-108,99.4,0,0,0,"2016-10-06 14:18:28.572",
218,151.226892175156,-33.931169166762,10.1000003814697,0.0,0.100000001490116,0.0,-100,-101,-101,-98,-100,-98,-100,-108,99.4,0,0,0,"2016-10-06 14:18:28.673",
219,151.2268924658,-33.9311692317853,10.1000003814697,0.0,0.0,0.0,-100,-101,-101,-98,-100,-98,-100,-108,99.4,0,0,0,"2016-10-06 14:18:28.789",
220,151.2268924658,-33.9311692317853,10.1000003814697,0.0,0.0,0.0,-100,-101,-101,-98,-100,-98,-100,-108,99.4,0,0,0,"2016-10-06 14:18:28.880",
221,151.226892773573,-33.931169149772,10.1999998092651,0.100000001490116,0.100000001490116,0.0,-100,-101,-101,-98,-100,-98,-100,-108,99.5,80,15353,-11322,"2016-10-06 14:18:28.974",
222,151.226892880188,-33.9311690194808,10.1999998092651,0.100000001490116,0.0,0.0,-100,-101,-101,-98,-100,-98,-100,-108,99.8,80,15353,-11322,"2016-10-06 14:18:29.074",5.0
223,151.226893068205,-33.9311689599614,10.1999998092651,0.200000002980232,0.0,0.0,-100,-101,-101,-98,-100,-98,-100,-108,99.9,80,15353,-11322,"2016-10-06 14:18:29.174",5.0
224,151.226893159424,-33.9311687535579,10.1999998092651,0.200000002980232,0.0,0.0,-100,-101,-101,-98,-100,-98,-100,-108,100.0,80,15353,-11322,"2016-10-06 14:18:29.276",5.0
225,151.226893209782,-33.931168545813,10.1999998092651,0.200000002980232,0.0,0.0,-100,-102,-101,-98,-101,-101,-102,-108,99.9,80,15353,-11322,"2016-10-06 14:18:29.383",5.0
226,151.226893352418,-33.9311684129458,10.1999998092651,0.200000002980232,0.300000011920929,0.0,-100,-102,-101,-98,-101,-101,-102,-108,99.5,80,15353,-11322,"2016-10-06 14:18:29.476",5.0
227,151.226893816753,-33.9311681665005,10.1999998092651,0.100000001490116,0.5,0.100000001490116,-100,-102,-101,-98,-101,-101,-102,-108,99.0,80,15353,-11322,"2016-10-06 14:18:29.577",5.0
228,151.226894643533,-33.9311679925527,10.1000003814697,0.100000001490116,1.0,0.100000001490116,-100,-102,-101,-98,-101,-101,-102,-108,98.8,80,15353,-11322,"2016-10-06 14:18:29.676",5.0
229,151.22689603527,-33.9311678556693,10.1999998092651,0.100000001490116,1.5,0.0,-100,-102,-101,-98,-101,-101,-102,-108,98.6,80,15353,-11322,"2016-10-06 14:18:29.776",5.0
230,151.226898045656,-33.9311677055947,10.1999998092651,0.100000001490116,2.09999990463257,0.0,-100,-102,-101,-98,-101,-101,-102,-108,98.4,80,15353,-11322,"2016-10-06 14:18:29.881",5.0
231,151.226900668769,-33.9311674328097,10.1999998092651,0.100000001490116,2.5,0.0,-100,-102,-101,-98,-101,-101,-102,-108,98.3,80,15368,-10810,"2016-10-06 14:18:29.978",5.0
232,151.226903526662,-33.9311672261904,10.1999998092651,0.100000001490116,3.0,0.0,-100,-102,-101,-98,-101,-101,-102,-108,98.2,80,15368,-10810,"2016-10-06 14:18:30.078",5.0
233,151.226907096444,-33.9311671533343,10.1999998092651,0.0,3.20000004768372,0.0,-100,-102,-101,-98,-101,-101,-102,-108,98.0,80,15368,-10810,"2016-10-06 14:18:30.178",5.0
234,151.226910924662,-33.9311671508299,10.1999998092651,0.0,3.59999990463257,0.100000001490116,-100,-102,-101,-98,-101,-101,-102,-108,97.9,80,15368,-10810,"2016-10-06 14:18:30.278",5.0
235,151.226919330667,-33.9311674950193,10.1999998092651,-0.200000002980232,4.19999980926514,0.100000001490116,-82,-101,-102,-98,-101,-92,-102,-108,98.6,80,15368,-10810,"2016-10-06 14:18:30.384",5.0
236,151.226919330667,-33.9311674950193,10.1999998092651,-0.200000002980232,4.19999980926514,0.100000001490116,-82,-101,-102,-98,-101,-92,-102,-108,98.6,80,15368,-10810,"2016-10-06 14:18:30.478",5.0
237,151.226924859197,-33.93116788643,10.1999998092651,-0.300000011920929,4.40000009536743,0.0,-82,-101,-102,-98,-101,-92,-102,-108,99.2,80,15368,-10810,"2016-10-06 14:18:30.579",5.0
238,151.22692975869,-33.9311682713414,10.1999998092651,-0.400000005960464,4.5,0.100000001490116,-82,-101,-102,-98,-101,-92,-102,-108,99.7,80,15368,-10810,"2016-10-06 14:18:30.679",5.0
239,151.226935209365,-33.9311688918347,10.1999998092651,-0.400000005960464,4.59999990463257,0.100000001490116,-82,-101,-102,-98,-101,-92,-102,-108,100.8,80,15368,-10810,"2016-10-06 14:18:30.780",5.0
240,151.226946130336,-33.9311700947109,10.1000003814697,-0.5,4.59999990463257,0.0,-82,-101,-102,-98,-101,-92,-102,-108,101.5,80,15317,-11417,"2016-10-06 14:18:30.883",5.0
241,151.226951303296,-33.9311706076331,10.1000003814697,-0.5,4.59999990463257,0.0,-82,-101,-102,-98,-101,-92,-102,-108,101.3,80,15317,-11417,"2016-10-06 14:18:30.987",5.0
242,151.226951303296,-33.9311706076331,10.1000003814697,-0.5,4.59999990463257,0.0,-82,-101,-102,-98,-101,-92,-102,-108,101.3,80,15317,-11417,"2016-10-06 14:18:31.079",5.0
243,151.22695701259,-33.9311713006372,10.1000003814697,-0.5,4.59999990463257,0.0,-82,-101,-102,-98,-101,-92,-102,-108,101.2,80,15317,-11417,"2016-10-06 14:18:31.180",5.0
244,151.226962080886,-33.9311718318341,10.1000003814697,-0.5,4.59999990463257,0.100000001490116,-82,-101,-102,-98,-101,-92,-102,-108,101.2,80,15317,-11417,"2016-10-06 14:18:31.279",5.0
245,151.22696793708,-33.9311726929658,10.1000003814697,-0.600000023841858,4.59999990463257,0.0,-100,-101,-101,-98,-102,-100,-105,-108,101.2,80,15317,-11417,"2016-10-06 14:18:31.380",5.0
246,151.226972991539,-33.9311732611463,10.1000003814697,-0.600000023841858,4.59999990463257,0.0,-100,-101,-101,-98,-102,-100,-105,-108,101.2,80,15317,-11417,"2016-10-06 14:18:31.480",5.0
247,151.226978225941,-33.9311740420856,10.1000003814697,-0.600000023841858,4.59999990463257,0.0,-100,-101,-101,-98,-102,-100,-105,-108,100.9,80,15317,-11417,"2016-10-06 14:18:31.580",5.0
248,151.226983665261,-33.9311747944694,10.1000003814697,-0.600000023841858,4.59999990463257,0.0,-100,-101,-101,-98,-102,-100,-105,-108,100.7,80,15317,-11417,"2016-10-06 14:18:31.680",5.0
249,151.226988758158,-33.9311753894008,10.1000003814697,-0.600000023841858,4.59999990463257,0.0,-100,-101,-101,-98,-102,-100,-105,-108,100.4,80,15317,-11417,"2016-10-06 14:18:31.781",5.0
250,151.226993815039,-33.9311759663342,10.1000003814697,-0.600000023841858,4.59999990463257,0.0,-100,-101,-101,-98,-102,-100,-105,-108,100.1,80,15317,-11417,"2016-10-06 14:18:31.881",5.0
251,151.226998997048,-33.9311766071261,10.1000003814697,-0.600000023841858,4.59999990463257,0.0,-100,-101,-101,-98,-102,-100,-105,-108,100.0,80,15283,-12646,"2016-10-06 14:18:31.981",5.0
252,151.227009010375,-33.9311777525254,10.1000003814697,-0.600000023841858,4.59999990463257,0.0,-100,-101,-101,-98,-102,-100,-105,-108,99.9,80,15283,-12646,"2016-10-06 14:18:32.081",5.0
253,151.227009010375,-33.9311777525254,10.1000003814697,-0.600000023841858,4.59999990463257,0.0,-100,-101,-101,-98,-102,-100,-105,-108,99.9,80,15283,-12646,"2016-10-06 14:18:32.182",5.0
254,151.227014079332,-33.9311783349889,10.1000003814697,-0.600000023841858,4.59999990463257,0.0,-100,-101,-101,-98,-102,-100,-105,-108,99.9,80,15283,-12646,"2016-10-06 14:18:32.281",5.0
255,151.227018875005,-33.9311788375668,10.1000003814697,-0.600000023841858,4.59999990463257,0.0,-95,-101,-101,-98,-100,-100,-102,-108,99.7,80,15283,-12646,"2016-10-06 14:18:32.381",5.0
