id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,Wifi1,Wifi2,Wifi3,Wifi4,Wifi5,Wifi6,Wifi7,Wifi8,DroneHeading,Battery,Voltage,Current,Date,Method
180,151.228702140575,-33.9313092962652,10.1999998092651,-4.5,12.8000001907349,0.100000001490116,-102,-88,-95,-101,-101,-99,-102,-108,97.9,97,16056,-9685,"2016-10-07 14:47:40.660",0.1
181,151.228730222091,-33.9313179280727,10.1999998092651,-4.5,13.0,0.200000002980232,-102,-88,-95,-101,-101,-99,-102,-108,101.7,97,16056,-9685,"2016-10-07 14:47:40.768",0.1
182,151.228730222091,-33.9313179280727,10.1999998092651,-4.5,13.0,0.200000002980232,-102,-88,-95,-101,-101,-99,-102,-108,101.7,97,16056,-9685,"2016-10-07 14:47:40.866",0.1
183,151.228758733288,-33.9313254282461,10.3000001907349,-3.90000009536743,13.1999998092651,0.200000002980232,-102,-88,-95,-101,-101,-99,-102,-108,102.6,97,16056,-9685,"2016-10-07 14:47:40.961",0.1
184,151.228772996034,-33.9313291514337,10.3000001907349,-3.79999995231628,13.3000001907349,0.100000001490116,-102,-88,-95,-101,-101,-99,-102,-108,100.6,97,16056,-9685,"2016-10-07 14:47:41.060",0.1
185,151.228772996034,-33.9313291514337,10.3000001907349,-3.79999995231628,13.3000001907349,0.100000001490116,-102,-88,-95,-101,-101,-99,-102,-108,100.6,97,16070,-9529,"2016-10-07 14:47:41.160",0.1
186,151.228801984706,-33.931336464485,10.1999998092651,-4.30000019073486,13.1999998092651,0.200000002980232,-102,-88,-95,-101,-101,-99,-102,-108,99.3,97,16070,-9529,"2016-10-07 14:47:41.262",0.1
187,151.228816262666,-33.9313404146801,10.1999998092651,-4.59999990463257,13.1999998092651,0.100000001490116,-100,-100,-101,-101,-101,-99,-102,-108,99.6,97,16070,-9529,"2016-10-07 14:47:41.363",0.1
188,151.228830986718,-33.9313448407148,10.1999998092651,-4.90000009536743,13.3000001907349,0.0,-100,-100,-101,-101,-101,-99,-102,-108,99.9,97,16070,-9529,"2016-10-07 14:47:41.465",0.1
189,151.228845478838,-33.9313493591113,10.1999998092651,-5.0,13.3000001907349,0.100000001490116,-100,-100,-101,-101,-101,-99,-102,-108,100.3,97,16070,-9529,"2016-10-07 14:47:41.560",0.1
190,151.228859785924,-33.9313544846278,10.1999998092651,-5.0,13.3000001907349,0.100000001490116,-100,-100,-101,-101,-101,-99,-102,-108,100.7,97,16070,-9529,"2016-10-07 14:47:41.665",0.1
191,151.228874207802,-33.9313590517439,10.1999998092651,-5.0,13.1000003814697,0.100000001490116,-100,-100,-101,-101,-101,-99,-102,-108,100.8,97,16070,-9529,"2016-10-07 14:47:41.760",0.1
192,151.228888244283,-33.931363836729,10.1999998092651,-4.90000009536743,12.8000001907349,0.0,-100,-100,-101,-101,-101,-99,-102,-108,100.6,97,16070,-9529,"2016-10-07 14:47:41.865",0.1
193,151.228902162746,-33.9313680955253,10.1999998092651,-4.80000019073486,12.3999996185303,0.0,-100,-100,-101,-101,-101,-99,-102,-108,100.1,97,16070,-9529,"2016-10-07 14:47:41.965",0.1
194,151.228915277419,-33.9313725602205,10.1999998092651,-4.69999980926514,11.8999996185303,0.100000001490116,-100,-100,-101,-101,-101,-99,-102,-108,99.7,97,16070,-9529,"2016-10-07 14:47:42.067",0.1
195,151.228927904025,-33.931376729818,10.1000003814697,-4.5,11.1999998092651,0.0,-100,-100,-101,-101,-101,-99,-102,-108,99.2,97,15995,-11336,"2016-10-07 14:47:42.166",0.1
196,151.228939479794,-33.9313810049317,10.1000003814697,-4.40000009536743,10.6999998092651,0.0,-100,-100,-101,-101,-101,-99,-102,-108,98.9,97,15995,-11336,"2016-10-07 14:47:42.262",0.1
197,151.228950721693,-33.9313848916842,10.1000003814697,-4.19999980926514,10.0,0.0,-100,-101,-101,-100,-101,-100,-102,-108,98.6,97,15995,-11336,"2016-10-07 14:47:42.367",0.1
198,151.228960730688,-33.9313883948458,10.1000003814697,-4.0,9.5,0.0,-100,-101,-101,-100,-101,-100,-102,-108,98.4,97,15995,-11336,"2016-10-07 14:47:42.462",0.1
199,151.228971206529,-33.9313922837939,10.1000003814697,-3.79999995231628,8.89999961853027,0.0,-100,-101,-101,-100,-101,-100,-102,-108,98.6,97,15995,-11336,"2016-10-07 14:47:42.562",0.1
200,151.228971206529,-33.9313922837939,10.1000003814697,-3.79999995231628,8.89999961853027,0.0,-100,-101,-101,-100,-101,-100,-102,-108,98.6,97,15995,-11336,"2016-10-07 14:47:42.662",0.1
201,151.228971206529,-33.9313922837939,10.1000003814697,-3.79999995231628,8.89999961853027,0.0,-100,-101,-101,-100,-101,-100,-102,-108,98.6,97,15995,-11336,"2016-10-07 14:47:42.762",0.1
