id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,Wifi1,Wifi2,Wifi3,Wifi4,Wifi5,Wifi6,Wifi7,Wifi8,DroneHeading,Battery,Voltage,Current,Date,Method
131,151.227695108264,-33.9311315538202,10,-3.29999995231628,9.39999961853027,0.0,-101,-102,-102,-100,-100,-99,-102,-108,99.7,74,15487,-8922,"2016-10-07 15:16:40.571",2.0
132,151.227715443405,-33.9311375397822,10,-3.29999995231628,9.39999961853027,0.0,-101,-102,-102,-100,-100,-99,-102,-108,100.1,74,15487,-8922,"2016-10-07 15:16:40.671",2.0
133,151.22772573506,-33.9311405114311,10,-3.29999995231628,9.39999961853027,0.0,-101,-102,-102,-100,-100,-99,-102,-108,100.0,74,15487,-8922,"2016-10-07 15:16:40.771",2.0
134,151.227735935979,-33.9311432897054,10,-3.09999990463257,9.39999961853027,0.100000001490116,-101,-102,-102,-100,-100,-99,-102,-108,100.3,74,15487,-8922,"2016-10-07 15:16:40.878",2.0
135,151.227746209116,-33.9311460475642,10,-2.90000009536743,9.39999961853027,0.0,-101,-102,-102,-100,-100,-99,-102,-108,100.3,74,15487,-8922,"2016-10-07 15:16:40.976",2.0
136,151.227756546214,-33.9311484774069,10,-2.59999990463257,9.39999961853027,0.0,-101,-102,-102,-100,-100,-99,-102,-108,100.3,74,15487,-8922,"2016-10-07 15:16:41.077",2.0
137,151.227766842274,-33.9311506814676,10,-2.20000004768372,9.39999961853027,0.100000001490116,-101,-102,-102,-100,-100,-99,-102,-108,100.1,74,15487,-8922,"2016-10-07 15:16:41.176",2.0
138,151.227776924334,-33.9311524184492,10,-1.79999995231628,9.39999961853027,0.0,-101,-102,-102,-100,-100,-99,-102,-108,99.9,74,15487,-8922,"2016-10-07 15:16:41.277",2.0
139,151.227787252422,-33.9311539195038,10,-1.5,9.5,0.0,-101,-102,-102,-100,-100,-99,-102,-108,100.2,74,15487,-8922,"2016-10-07 15:16:41.378",2.0
140,151.227797572213,-33.9311549466839,10,-1.20000004768372,9.5,0.0,-94,-96,-97,-99,-101,-101,-102,-108,100.5,74,15458,-9293,"2016-10-07 15:16:41.478",2.0
141,151.227807995065,-33.9311559372707,10.1000003814697,-0.899999976158142,9.60000038146973,0.0,-94,-96,-97,-99,-101,-101,-102,-108,100.8,74,15458,-9293,"2016-10-07 15:16:41.578",2.0
142,151.227818453408,-33.9311564324996,10.1000003814697,-0.699999988079071,9.60000038146973,0.0,-94,-96,-97,-99,-101,-101,-102,-108,101.1,74,15458,-9293,"2016-10-07 15:16:41.678",2.0
143,151.22782901354,-33.9311570067268,10.1000003814697,-0.5,9.69999980926514,0.0,-94,-96,-97,-99,-101,-101,-102,-108,101.0,74,15458,-9293,"2016-10-07 15:16:41.777",2.0
144,151.227839586912,-33.9311568147018,10.1000003814697,-0.300000011920929,9.80000019073486,0.0,-94,-96,-97,-99,-101,-101,-102,-108,100.7,74,15458,-9293,"2016-10-07 15:16:41.878",2.0
145,151.22785027975,-33.9311573237948,10.1999998092651,-0.200000002980232,9.80000019073486,0.0,-94,-96,-97,-99,-101,-101,-102,-108,100.4,74,15458,-9293,"2016-10-07 15:16:41.978",2.0
146,151.22786115755,-33.9311569540387,10.1999998092651,-0.100000001490116,9.89999961853027,0.0,-94,-96,-97,-99,-101,-101,-102,-108,100.2,74,15458,-9293,"2016-10-07 15:16:42.079",2.0
147,151.227871957066,-33.931157012896,10.1999998092651,0.0,9.89999961853027,0.0,-94,-96,-97,-99,-101,-101,-102,-108,100.1,74,15458,-9293,"2016-10-07 15:16:42.179",2.0
148,151.227882936379,-33.9311564274054,10.1999998092651,0.0,10.0,0.100000001490116,-94,-96,-97,-99,-101,-101,-102,-108,99.8,74,15458,-9293,"2016-10-07 15:16:42.281",2.0
149,151.227893827106,-33.9311563683173,10.1000003814697,0.0,10.0,0.200000002980232,-94,-96,-97,-99,-101,-101,-102,-108,99.5,74,15458,-9293,"2016-10-07 15:16:42.381",2.0
150,151.227904686812,-33.9311558639915,10.1000003814697,0.100000001490116,10.0,0.200000002980232,-99,-102,-94,-99,-98,-100,-102,-108,99.3,74,15416,-10358,"2016-10-07 15:16:42.481",2.0
