id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,Wifi1,Wifi2,Wifi3,Wifi4,Wifi5,Wifi6,Wifi7,Wifi8,DroneHeading,Battery,Voltage,Current,Date,Method
1875,151.22782829168,-33.9313922616932,10.5,0.0,0.300000011920929,-0.100000001490116,-93,-83,-101,-99,-98,-99,-102,-108,-7.7,46,14635,-10563,"2016-09-13 15:39:00.357","angle 5 1nd"
1876,151.227828689941,-33.9313922162585,10.5,0.0,0.300000011920929,-0.100000001490116,-90,-98,-91,-100,-100,-93,-102,-108,-7.9,46,14635,-10563,"2016-09-13 15:39:00.453","angle 5 1nd"
1877,151.227828832258,-33.9313921119437,10.5,0.0,0.300000011920929,-0.100000001490116,-90,-98,-91,-100,-100,-93,-102,-108,-7.8,46,14635,-10563,"2016-09-13 15:39:00.553","angle 5 1nd"
1878,151.227828902171,-33.9313921840433,10.5,0.0,0.300000011920929,-0.100000001490116,-90,-98,-91,-100,-100,-93,-102,-108,-7.6,46,14635,-10563,"2016-09-13 15:39:00.654","angle 5 1nd"
1879,151.227829047379,-33.9313922205758,10.5,0.0,0.300000011920929,0.0,-90,-98,-91,-100,-100,-93,-102,-108,-7.4,46,14635,-10563,"2016-09-13 15:39:00.753","angle 5 1nd"
1880,151.227829399298,-33.9313922213725,10.5,0.0,0.300000011920929,0.0,-90,-98,-91,-100,-100,-93,-102,-108,-7.2,46,14635,-10563,"2016-09-13 15:39:00.858","angle 5 1nd"
1881,151.227829253284,-33.931392329002,10.5,0.0,0.200000002980232,0.0,-90,-98,-91,-100,-100,-93,-102,-108,-7.0,46,14635,-10563,"2016-09-13 15:39:00.968","angle 5 1nd"
1882,151.22782957471,-33.9313923682404,10.5,0.0,0.300000011920929,-0.100000001490116,-90,-98,-91,-100,-100,-93,-102,-108,-6.9,46,14635,-10563,"2016-09-13 15:39:01.054","angle 5 1nd"
1883,151.227829639075,-33.9313924261569,10.5,0.0,0.200000002980232,0.0,-90,-98,-91,-100,-100,-93,-102,-108,-6.9,45,14637,-10784,"2016-09-13 15:39:01.154","angle 5 1nd"
1884,151.227829642162,-33.9313925379103,10.5,0.0,0.200000002980232,0.0,-90,-98,-91,-100,-100,-93,-102,-108,-6.9,45,14637,-10784,"2016-09-13 15:39:01.254","angle 5 1nd"
1885,151.227829649329,-33.9313927820704,10.5,-0.100000001490116,0.200000002980232,0.0,-90,-98,-91,-100,-100,-93,-102,-108,-6.9,45,14637,-10784,"2016-09-13 15:39:01.355","angle 5 1nd"
1886,151.227829947563,-33.9313928923036,10.5,-0.100000001490116,0.200000002980232,0.0,-88,-100,-97,-98,-98,-98,-102,-108,-7.0,45,14637,-10784,"2016-09-13 15:39:01.455","angle 5 1nd"
2481,151.227776742555,-33.9314604209894,9.89999961853027,0.0,0.0,-0.100000001490116,-80,-97,-90,-80,-101,-94,-102,-108,18.7,41,14572,-10871,"2016-09-13 15:40:01.095","angle 5 1nd"
2482,151.227776639329,-33.9314604792836,9.89999961853027,0.0,0.0,-0.100000001490116,-80,-97,-90,-80,-101,-94,-102,-108,18.7,41,14564,-10677,"2016-09-13 15:40:01.195","angle 5 1nd"
2483,151.227776647526,-33.9314604763722,9.89999961853027,0.0,0.0,-0.100000001490116,-80,-97,-90,-80,-101,-94,-102,-108,18.8,41,14564,-10677,"2016-09-13 15:40:01.296","angle 5 1nd"
2484,151.227776555664,-33.9314604709936,9.89999961853027,0.0,0.0,-0.100000001490116,-80,-97,-90,-80,-101,-94,-102,-108,18.8,41,14564,-10677,"2016-09-13 15:40:01.397","angle 5 1nd"
2485,151.227776539437,-33.9314605088463,9.89999961853027,0.0,0.0,0.0,-92,-83,-91,-86,-94,-98,-102,-108,18.8,41,14564,-10677,"2016-09-13 15:40:01.501","angle 5 1nd"
