id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,Wifi1,Wifi2,Wifi3,Wifi4,Wifi5,Wifi6,Wifi7,Wifi8,DroneHeading,Battery,Voltage,Current,Date,Method
837,151.227632047764,-33.9312825199523,10,-0.100000001490116,0.0,0.0,-100,-101,-100,-100,-100,-99,-102,-108,12.1,73,15305,-9836,"2016-09-16 14:17:30.746","yaw 60"
838,151.227632047764,-33.9312825199523,10,-0.100000001490116,0.0,0.0,-100,-101,-100,-100,-100,-99,-102,-108,12.1,73,15305,-9836,"2016-09-16 14:17:30.836","yaw 60"
839,151.227631862208,-33.9312827836027,10,0.0,0.0,0.0,-100,-101,-100,-100,-100,-99,-102,-108,12.2,72,15275,-10400,"2016-09-16 14:17:30.935","yaw 60"
840,151.227631894506,-33.9312828505562,10,0.0,0.0,0.0,-100,-101,-100,-100,-100,-99,-102,-108,12.3,72,15275,-10400,"2016-09-16 14:17:31.036","yaw 60"
841,151.227631881035,-33.9312829391327,10,0.0,0.0,0.0,-100,-101,-100,-100,-100,-99,-102,-108,12.3,72,15275,-10400,"2016-09-16 14:17:31.139","yaw 60"
842,151.227631950659,-33.9312829590452,10,0.0,0.0,0.0,-100,-101,-100,-100,-100,-99,-102,-108,12.3,72,15275,-10400,"2016-09-16 14:17:31.244","yaw 60"
843,151.227632033097,-33.9312830160015,10,0.0,0.0,0.0,-100,-101,-100,-100,-100,-99,-102,-108,12.3,72,15275,-10400,"2016-09-16 14:17:31.338","yaw 60"
844,151.227632013778,-33.9312830164495,10,0.0,0.0,0.0,-100,-101,-100,-100,-100,-99,-102,-108,12.2,72,15275,-10400,"2016-09-16 14:17:31.438","yaw 60"
845,151.227632057508,-33.931283073828,10,0.0,0.0,0.0,-100,-101,-100,-100,-100,-99,-102,-108,12.2,72,15275,-10400,"2016-09-16 14:17:31.539","yaw 60"
846,151.227632087926,-33.9312830372996,10,0.0,0.0,0.0,-98,-100,-100,-101,-95,-100,-102,-108,12.3,72,15275,-10400,"2016-09-16 14:17:31.640","yaw 60"
847,151.227632711365,-33.931283185745,10,0.0,0.5,0.100000001490116,-98,-100,-100,-101,-95,-100,-102,-108,13.3,72,15275,-10400,"2016-09-16 14:17:31.763","yaw 60"
848,151.227632711365,-33.931283185745,10,0.0,0.5,0.100000001490116,-98,-100,-100,-101,-95,-100,-102,-108,13.3,72,15275,-10400,"2016-09-16 14:17:31.847","yaw 60"
849,151.227633680636,-33.9312833723893,10,-0.100000001490116,1.0,0.0,-98,-100,-100,-101,-95,-100,-102,-108,13.4,72,15275,-10583,"2016-09-16 14:17:31.941","yaw 60"
850,151.227635121298,-33.9312835750428,9.89999961853027,-0.200000002980232,1.60000002384186,0.0,-98,-100,-100,-101,-95,-100,-102,-108,13.6,72,15275,-10583,"2016-09-16 14:17:32.042","yaw 60"
851,151.227637205462,-33.9312840325127,9.89999961853027,-0.300000011920929,2.0,0.0,-98,-100,-100,-101,-95,-100,-102,-108,13.5,72,15275,-10583,"2016-09-16 14:17:32.142","yaw 60"
852,151.227639689703,-33.9312844244385,9.89999961853027,-0.400000005960464,2.40000009536743,-0.100000001490116,-98,-100,-100,-101,-95,-100,-102,-108,13.5,72,15275,-10583,"2016-09-16 14:17:32.242","yaw 60"
853,151.227642546243,-33.9312852048209,9.89999961853027,-0.5,2.40000009536743,-0.100000001490116,-98,-100,-100,-101,-95,-100,-102,-108,13.1,72,15275,-10583,"2016-09-16 14:17:32.342","yaw 60"
854,151.227645140441,-33.9312857738776,9.89999961853027,-0.600000023841858,2.59999990463257,0.0,-98,-100,-100,-101,-95,-100,-102,-108,12.5,72,15275,-10583,"2016-09-16 14:17:32.443","yaw 60"
855,151.227648496505,-33.9312870476846,9.89999961853027,-0.699999988079071,2.59999990463257,0.0,-98,-100,-100,-101,-95,-100,-102,-108,11.9,72,15275,-10583,"2016-09-16 14:17:32.542","yaw 60"
856,151.227651411534,-33.9312877671914,9.89999961853027,-0.699999988079071,2.59999990463257,0.0,-101,-101,-101,-100,-99,-99,-102,-108,11.5,72,15275,-10583,"2016-09-16 14:17:32.643","yaw 60"
857,151.22765390334,-33.9312895005769,9.89999961853027,-0.899999976158142,2.70000004768372,0.0,-101,-101,-101,-100,-99,-99,-102,-108,11.3,72,15275,-10583,"2016-09-16 14:17:32.743","yaw 60"
858,151.227656886699,-33.9312903526868,9.89999961853027,-0.899999976158142,2.70000004768372,0.0,-101,-101,-101,-100,-99,-99,-102,-108,11.0,72,15275,-10583,"2016-09-16 14:17:32.844","yaw 60"
859,151.227656886699,-33.9312903526868,9.89999961853027,-0.899999976158142,2.70000004768372,0.0,-101,-101,-101,-100,-99,-99,-102,-108,11.0,72,15275,-10583,"2016-09-16 14:17:32.945","yaw 60"
860,151.227663085216,-33.9312930505405,9.89999961853027,-0.899999976158142,2.79999995231628,0.0,-101,-101,-101,-100,-99,-99,-102,-108,10.7,72,15275,-10583,"2016-09-16 14:17:33.043","yaw 60"
861,151.227666374351,-33.931294216841,9.89999961853027,-0.899999976158142,2.79999995231628,0.0,-101,-101,-101,-100,-99,-99,-102,-108,10.8,72,15275,-10583,"2016-09-16 14:17:33.145","yaw 60"
862,151.227669472736,-33.931295062385,9.80000019073486,-0.899999976158142,2.79999995231628,0.0,-101,-101,-101,-100,-99,-99,-102,-108,10.8,72,15275,-10583,"2016-09-16 14:17:33.243","yaw 60"
863,151.227672862114,-33.9312964256653,9.80000019073486,-0.899999976158142,2.79999995231628,0.0,-101,-101,-101,-100,-99,-99,-102,-108,10.6,72,15275,-10583,"2016-09-16 14:17:33.345","yaw 60"
864,151.227675973896,-33.9312972055663,9.80000019073486,-0.800000011920929,2.79999995231628,0.0,-101,-101,-101,-100,-99,-99,-102,-108,10.8,72,15275,-10583,"2016-09-16 14:17:33.445","yaw 60"
865,151.227679141108,-33.9312979627463,9.80000019073486,-0.800000011920929,2.79999995231628,0.0,-101,-101,-101,-100,-99,-99,-102,-108,10.9,72,15275,-10583,"2016-09-16 14:17:33.546","yaw 60"
866,151.227682410595,-33.9312989642743,9.80000019073486,-0.699999988079071,2.79999995231628,0.0,-98,-101,-100,-101,-98,-100,-103,-108,11.2,72,15275,-10583,"2016-09-16 14:17:33.644","yaw 60"
867,151.22768565764,-33.931299561677,9.80000019073486,-0.699999988079071,2.79999995231628,0.0,-98,-101,-100,-101,-98,-100,-103,-108,11.3,72,15275,-10583,"2016-09-16 14:17:33.744","yaw 60"
868,151.227688773067,-33.931300269745,9.80000019073486,-0.699999988079071,2.79999995231628,0.0,-98,-101,-100,-101,-98,-100,-103,-108,11.3,72,15275,-10583,"2016-09-16 14:17:33.845","yaw 60"
869,151.227691947726,-33.9313010664457,9.80000019073486,-0.699999988079071,2.79999995231628,0.0,-98,-101,-100,-101,-98,-100,-103,-108,11.2,72,15238,-10751,"2016-09-16 14:17:33.945","yaw 60"
870,151.227695001991,-33.9313017573843,9.80000019073486,-0.699999988079071,2.70000004768372,0.0,-98,-101,-100,-101,-98,-100,-103,-108,11.2,72,15238,-10751,"2016-09-16 14:17:34.046","yaw 60"
871,151.227698024746,-33.9313023186671,9.80000019073486,-0.699999988079071,2.70000004768372,0.0,-98,-101,-100,-101,-98,-100,-103,-108,11.1,72,15238,-10751,"2016-09-16 14:17:34.145","yaw 60"
872,151.227701142044,-33.9313029833267,9.80000019073486,-0.699999988079071,2.70000004768372,0.0,-98,-101,-100,-101,-98,-100,-103,-108,11.1,72,15238,-10751,"2016-09-16 14:17:34.245","yaw 60"
873,151.227704146756,-33.931303502538,9.80000019073486,-0.699999988079071,2.70000004768372,0.0,-98,-101,-100,-101,-98,-100,-103,-108,11.2,72,15238,-10751,"2016-09-16 14:17:34.345","yaw 60"
874,151.227707174034,-33.9313041793752,9.80000019073486,-0.699999988079071,2.70000004768372,0.0,-98,-101,-100,-101,-98,-100,-103,-108,11.4,72,15238,-10751,"2016-09-16 14:17:34.445","yaw 60"
875,151.227710200208,-33.9313046836408,9.80000019073486,-0.699999988079071,2.79999995231628,0.0,-98,-101,-100,-101,-98,-100,-103,-108,15.0,72,15238,-10751,"2016-09-16 14:17:34.545","yaw 60"
876,151.227713246229,-33.931305377846,9.80000019073486,-0.699999988079071,2.70000004768372,0.0,-97,-98,-100,-100,-89,-100,-102,-108,20.1,72,15238,-10751,"2016-09-16 14:17:34.646","yaw 60"
877,151.227716125282,-33.9313059312277,9.80000019073486,-0.800000011920929,2.70000004768372,0.0,-97,-98,-100,-100,-89,-100,-102,-108,25.6,72,15238,-10751,"2016-09-16 14:17:34.746","yaw 60"
878,151.227719096859,-33.9313065648776,9.80000019073486,-0.899999976158142,2.70000004768372,0.0,-97,-98,-100,-100,-89,-100,-102,-108,31.1,72,15238,-10751,"2016-09-16 14:17:34.846","yaw 60"
879,151.227721828403,-33.9313074731909,9.80000019073486,-1.0,2.59999990463257,0.0,-97,-98,-100,-100,-89,-100,-102,-108,36.8,72,15238,-10751,"2016-09-16 14:17:34.946","yaw 60"
