id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,Wifi1,Wifi2,Wifi3,Wifi4,Wifi5,Wifi6,Wifi7,Wifi8,DroneHeading,Battery,Voltage,Current,Date,Method
5273,151.228359695239,-33.9314244329783,9.5,0.0,0.0,0.0,-97,-102,-101,-97,-98,-94,-103,-108,4.2,35,14531,-10732,"2016-09-16 14:26:13.986","pitch -1 3 final"
5274,151.228359726263,-33.9314243178825,9.5,0.0,0.0,-0.100000001490116,-97,-102,-101,-97,-98,-94,-103,-108,4.0,35,14531,-10732,"2016-09-16 14:26:14.087","pitch -1 3 final"
5275,151.228359774757,-33.9314242921666,9.5,0.0,0.0,-0.100000001490116,-97,-102,-101,-97,-98,-94,-103,-108,3.8,35,14531,-10732,"2016-09-16 14:26:14.187","pitch -1 3 final"
5276,151.228359970517,-33.9314240962963,9.5,0.0,0.200000002980232,0.0,-97,-102,-101,-97,-98,-94,-103,-108,4.1,35,14531,-10732,"2016-09-16 14:26:14.288","pitch -1 3 final"
5277,151.228360374375,-33.9314240677582,9.5,0.0,0.5,0.0,-97,-102,-101,-97,-98,-94,-103,-108,4.4,35,14531,-10732,"2016-09-16 14:26:14.387","pitch -1 3 final"
5278,151.228361263514,-33.9314239564956,9.5,0.0,1.0,0.0,-97,-102,-101,-97,-98,-94,-103,-108,3.8,35,14531,-10732,"2016-09-16 14:26:14.488","pitch -1 3 final"
5279,151.228361263514,-33.9314239564956,9.5,0.0,1.0,0.0,-97,-102,-101,-97,-98,-94,-103,-108,3.8,35,14531,-10732,"2016-09-16 14:26:14.588","pitch -1 3 final"
5280,151.228367427219,-33.931423554522,9.5,0.0,2.40000009536743,-0.200000002980232,-97,-96,-87,-92,-95,-100,-103,-108,4.1,35,14531,-10732,"2016-09-16 14:26:14.689","pitch -1 3 final"
5281,151.228370681856,-33.9314235697188,9.5,0.0,2.5,-0.200000002980232,-97,-96,-87,-92,-95,-100,-103,-108,3.9,35,14482,-11346,"2016-09-16 14:26:14.795","pitch -1 3 final"
5282,151.228370681856,-33.9314235697188,9.5,0.0,2.5,-0.200000002980232,-97,-96,-87,-92,-95,-100,-103,-108,3.9,35,14482,-11346,"2016-09-16 14:26:14.891","pitch -1 3 final"
5283,151.228376875674,-33.9314235126725,9.60000038146973,0.0,2.70000004768372,-0.100000001490116,-97,-96,-87,-92,-95,-100,-103,-108,3.5,35,14482,-11346,"2016-09-16 14:26:14.992","pitch -1 3 final"
5284,151.228379887923,-33.9314235509899,9.60000038146973,0.0,2.70000004768372,-0.100000001490116,-97,-96,-87,-92,-95,-100,-103,-108,3.8,35,14482,-11346,"2016-09-16 14:26:15.101","pitch -1 3 final"
5285,151.228383218678,-33.9314237723957,9.69999980926514,0.0,2.79999995231628,-0.100000001490116,-97,-96,-87,-92,-95,-100,-103,-108,3.9,35,14482,-11346,"2016-09-16 14:26:15.200","pitch -1 3 final"
5286,151.228386354399,-33.9314237867467,9.69999980926514,0.0,2.79999995231628,-0.100000001490116,-97,-96,-87,-92,-95,-100,-103,-108,4.0,35,14482,-11346,"2016-09-16 14:26:15.299","pitch -1 3 final"
5287,151.228390189565,-33.9314237870426,9.69999980926514,0.0,2.90000009536743,-0.100000001490116,-97,-96,-87,-92,-95,-100,-103,-108,3.8,35,14482,-11346,"2016-09-16 14:26:15.400","pitch -1 3 final"
5288,151.228393717566,-33.9314238340287,9.69999980926514,0.0,2.90000009536743,-0.100000001490116,-97,-96,-87,-92,-95,-100,-103,-108,3.7,35,14482,-11346,"2016-09-16 14:26:15.506","pitch -1 3 final"
5289,151.228397343421,-33.9314237981427,9.69999980926514,0.0,3.0,-0.100000001490116,-99,-102,-89,-103,-100,-98,-102,-108,3.6,35,14482,-11346,"2016-09-16 14:26:15.598","pitch -1 3 final"
5290,151.228400596015,-33.9314237481685,9.69999980926514,0.0,2.90000009536743,0.0,-99,-102,-89,-103,-100,-98,-102,-108,3.4,35,14482,-11346,"2016-09-16 14:26:15.701","pitch -1 3 final"
5291,151.228404244492,-33.9314236942813,9.69999980926514,0.0,3.0,0.0,-99,-102,-89,-103,-100,-98,-102,-108,3.7,35,14436,-12088,"2016-09-16 14:26:15.799","pitch -1 3 final"
5292,151.228407989972,-33.9314236934707,9.69999980926514,0.0,2.90000009536743,0.0,-99,-102,-89,-103,-100,-98,-102,-108,3.7,35,14436,-12088,"2016-09-16 14:26:15.898","pitch -1 3 final"
5293,151.228411480902,-33.9314234998718,9.69999980926514,0.100000001490116,3.0,0.0,-99,-102,-89,-103,-100,-98,-102,-108,3.7,35,14436,-12088,"2016-09-16 14:26:15.998","pitch -1 3 final"
5294,151.228414759104,-33.9314234068823,9.69999980926514,0.0,3.0,0.0,-99,-102,-89,-103,-100,-98,-102,-108,3.7,35,14436,-12088,"2016-09-16 14:26:16.099","pitch -1 3 final"
5295,151.228418674382,-33.9314232955683,9.69999980926514,0.0,3.0,0.0,-99,-102,-89,-103,-100,-98,-102,-108,3.9,35,14436,-12088,"2016-09-16 14:26:16.203","pitch -1 3 final"
5296,151.228421987307,-33.9314232205262,9.80000019073486,0.0,3.0,0.0,-99,-102,-89,-103,-100,-98,-102,-108,4.2,35,14436,-12088,"2016-09-16 14:26:16.299","pitch -1 3 final"
5297,151.22842543033,-33.9314231390793,9.80000019073486,0.100000001490116,3.0,0.0,-99,-102,-89,-103,-100,-98,-102,-108,4.5,35,14436,-12088,"2016-09-16 14:26:16.400","pitch -1 3 final"
5298,151.228429071058,-33.9314229682918,9.80000019073486,0.100000001490116,3.09999990463257,0.0,-99,-102,-89,-103,-100,-98,-102,-108,4.3,35,14436,-12088,"2016-09-16 14:26:16.503","pitch -1 3 final"
5299,151.22843259217,-33.9314227664335,9.80000019073486,0.100000001490116,3.09999990463257,0.0,-98,-103,-92,-102,-100,-102,-102,-108,4.2,35,14436,-12088,"2016-09-16 14:26:16.615","pitch -1 3 final"
5300,151.228436078209,-33.9314226450225,9.80000019073486,0.100000001490116,3.20000004768372,0.0,-98,-103,-92,-102,-100,-102,-102,-108,4.1,35,14436,-12088,"2016-09-16 14:26:16.709","pitch -1 3 final"
5301,151.228439846534,-33.9314223975468,9.80000019073486,0.0,3.20000004768372,0.0,-98,-103,-92,-102,-100,-102,-102,-108,3.9,35,14476,-12072,"2016-09-16 14:26:16.800","pitch -1 3 final"
5302,151.228443396401,-33.9314223326395,9.80000019073486,0.0,3.20000004768372,0.0,-98,-103,-92,-102,-100,-102,-102,-108,3.6,35,14476,-12072,"2016-09-16 14:26:16.901","pitch -1 3 final"
5303,151.228447059804,-33.931422154517,9.80000019073486,0.100000001490116,3.09999990463257,0.0,-98,-103,-92,-102,-100,-102,-102,-108,3.9,35,14476,-12072,"2016-09-16 14:26:17.002","pitch -1 3 final"
5304,151.228450548619,-33.931421911169,9.89999961853027,0.200000002980232,3.0,-0.100000001490116,-98,-103,-92,-102,-100,-102,-102,-108,5.4,35,14476,-12072,"2016-09-16 14:26:17.102","pitch -1 3 final"
5305,151.228453736153,-33.9314216114224,9.89999961853027,0.5,2.70000004768372,0.0,-98,-103,-92,-102,-100,-102,-102,-108,6.3,35,14476,-12072,"2016-09-16 14:26:17.202","pitch -1 3 final"
5306,151.228456612825,-33.9314209474005,9.89999961853027,0.899999976158142,2.40000009536743,-0.200000002980232,-98,-103,-92,-102,-100,-102,-102,-108,7.2,35,14476,-12072,"2016-09-16 14:26:17.302","pitch -1 3 final"
5307,151.228459208708,-33.9314199447023,10,1.29999995231628,2.20000004768372,-0.200000002980232,-98,-103,-92,-102,-100,-102,-102,-108,7.7,35,14476,-12072,"2016-09-16 14:26:17.403","pitch -1 3 final"
5308,151.228461447944,-33.9314185606112,10,1.70000004768372,1.79999995231628,-0.100000001490116,-98,-103,-92,-102,-100,-102,-102,-108,8.2,35,14476,-12072,"2016-09-16 14:26:17.502","pitch -1 3 final"
5309,151.228463337266,-33.9314166936799,9.89999961853027,2.0,1.60000002384186,0.0,-95,-102,-99,-102,-98,-102,-102,-108,7.8,35,14476,-12072,"2016-09-16 14:26:17.602","pitch -1 3 final"
5310,151.228465215211,-33.9314149017762,9.89999961853027,2.29999995231628,1.29999995231628,0.0,-95,-102,-99,-102,-98,-102,-102,-108,6.8,35,14476,-12072,"2016-09-16 14:26:17.707","pitch -1 3 final"
5311,151.228466180209,-33.9314121678339,9.89999961853027,2.5,1.0,0.0,-95,-102,-99,-102,-98,-102,-102,-108,5.9,35,14466,-11376,"2016-09-16 14:26:17.802","pitch -1 3 final"
5312,151.228467071831,-33.9314097159076,9.89999961853027,2.70000004768372,0.600000023841858,0.0,-95,-102,-99,-102,-98,-102,-102,-108,4.8,35,14466,-11376,"2016-09-16 14:26:17.906","pitch -1 3 final"
5313,151.228467754601,-33.9314069620685,9.89999961853027,2.90000009536743,0.300000011920929,0.100000001490116,-95,-102,-99,-102,-98,-102,-102,-108,4.0,35,14466,-11376,"2016-09-16 14:26:18.003","pitch -1 3 final"
5314,151.228467895476,-33.9314042721661,9.89999961853027,3.0,0.0,0.0,-95,-102,-99,-102,-98,-102,-102,-108,3.1,35,14466,-11376,"2016-09-16 14:26:18.103","pitch -1 3 final"
5315,151.228467226518,-33.9314008655685,9.80000019073486,3.09999990463257,-0.200000002980232,0.100000001490116,-95,-102,-99,-102,-98,-102,-102,-108,3.0,35,14466,-11376,"2016-09-16 14:26:18.203","pitch -1 3 final"
5316,151.228467213527,-33.9313981727391,9.80000019073486,3.09999990463257,-0.5,0.200000002980232,-95,-102,-99,-102,-98,-102,-102,-108,2.7,35,14466,-11376,"2016-09-16 14:26:18.303","pitch -1 3 final"
5317,151.22846585972,-33.9313947449326,9.69999980926514,3.20000004768372,-0.600000023841858,0.0,-95,-102,-99,-102,-98,-102,-102,-108,2.6,35,14466,-11376,"2016-09-16 14:26:18.404","pitch -1 3 final"
5318,151.228465043601,-33.9313918595194,9.69999980926514,3.09999990463257,-0.699999988079071,0.0,-95,-102,-99,-102,-98,-102,-102,-108,2.6,35,14466,-11376,"2016-09-16 14:26:18.506","pitch -1 3 final"
5319,151.228463756269,-33.9313882540961,9.69999980926514,3.20000004768372,-0.699999988079071,0.0,-96,-101,-101,-98,-101,-93,-100,-108,2.5,35,14466,-11376,"2016-09-16 14:26:18.603","pitch -1 3 final"
5320,151.228462915907,-33.9313853737773,9.60000038146973,3.09999990463257,-0.699999988079071,0.0,-96,-101,-101,-98,-101,-93,-100,-108,2.6,35,14466,-11376,"2016-09-16 14:26:18.706","pitch -1 3 final"
5321,151.228461457716,-33.9313822265736,9.60000038146973,3.09999990463257,-0.800000011920929,0.0,-96,-101,-101,-98,-101,-93,-100,-108,2.6,35,14456,-12240,"2016-09-16 14:26:18.804","pitch -1 3 final"
5322,151.228460573353,-33.9313793643993,9.60000038146973,3.09999990463257,-0.800000011920929,0.0,-96,-101,-101,-98,-101,-93,-100,-108,2.5,35,14456,-12240,"2016-09-16 14:26:18.906","pitch -1 3 final"
5323,151.228459292409,-33.9313758187824,9.60000038146973,3.09999990463257,-0.800000011920929,-0.100000001490116,-96,-101,-101,-98,-101,-93,-100,-108,2.7,35,14456,-12240,"2016-09-16 14:26:19.016","pitch -1 3 final"
5324,151.228458361607,-33.931372957699,9.5,3.09999990463257,-0.800000011920929,0.0,-96,-101,-101,-98,-101,-93,-100,-108,2.7,35,14456,-12240,"2016-09-16 14:26:19.106","pitch -1 3 final"
5325,151.228457321001,-33.9313701037409,9.5,3.09999990463257,-0.800000011920929,0.0,-96,-101,-101,-98,-101,-93,-100,-108,3.0,35,14456,-12240,"2016-09-16 14:26:19.206","pitch -1 3 final"
5326,151.228456029127,-33.9313669720333,9.5,3.09999990463257,-0.800000011920929,0.0,-96,-101,-101,-98,-101,-93,-100,-108,3.1,35,14456,-12240,"2016-09-16 14:26:19.311","pitch -1 3 final"
5327,151.228455148133,-33.9313640605931,9.39999961853027,3.09999990463257,-0.699999988079071,0.0,-96,-101,-101,-98,-101,-93,-100,-108,2.8,35,14456,-12240,"2016-09-16 14:26:19.406","pitch -1 3 final"
