id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,Wifi1,Wifi2,Wifi3,Wifi4,Wifi5,Wifi6,Wifi7,Wifi8,DroneHeading,Battery,Voltage,Current,Date,Method,symbol
2348,151.2268728,-33.93124388,10.30000019,0,0,0.100000001,0,0,0,0,0,0,0,0,-7.5,73,14968,-10165,48:50.5,,no_icon
2349,151.2268728,-33.9312438,10.19999981,0,-0.100000001,0.100000001,0,0,0,0,0,0,0,0,-7.8,73,14968,-10165,48:50.6,,no_icon
2350,151.2268725,-33.93124379,10.19999981,0,-0.100000001,0.100000001,0,0,0,0,0,0,0,0,-8,73,14994,-9922,48:50.7,,no_icon
2351,151.2268723,-33.93124375,10.19999981,0,-0.200000003,0.100000001,-99,-92,-100,-100,-100,-91,-100,-108,-8,73,14994,-9922,48:50.8,,no_icon
2352,151.2268719,-33.93124367,10.19999981,0,-0.200000003,0.100000001,-99,-92,-100,-100,-100,-91,-100,-108,-7.9,73,14994,-9922,48:50.9,,no_icon
2353,151.2268716,-33.93124369,10.19999981,0,-0.300000012,0.100000001,-99,-92,-100,-100,-100,-91,-100,-108,-7.6,73,14994,-9922,48:51.0,,no_icon
2354,151.2268711,-33.9312437,10.19999981,0,-0.300000012,0.200000003,-99,-92,-100,-100,-100,-91,-100,-108,-7.7,73,14994,-9922,48:51.1,,no_icon
2355,151.2268707,-33.93124369,10.19999981,0,-0.300000012,0.100000001,-99,-92,-100,-100,-100,-91,-100,-108,-7.9,73,14994,-9922,48:51.2,,no_icon
2356,151.2268701,-33.9312438,10.10000038,0,-0.300000012,0.100000001,-99,-92,-100,-100,-100,-91,-100,-108,-8,73,14994,-9922,48:51.3,,no_icon
2357,151.2268697,-33.93124384,10.10000038,0,-0.300000012,0,-99,-92,-100,-100,-100,-91,-100,-108,-8,73,14994,-9922,48:51.4,,no_icon
2358,151.226869,-33.93124383,10.10000038,0,-0.300000012,0,-99,-92,-100,-100,-100,-91,-100,-108,-7.9,73,14994,-9922,48:51.5,,no_icon
2359,151.2268686,-33.93124388,10.10000038,0,-0.300000012,0,-99,-92,-100,-100,-100,-91,-100,-108,-7.7,73,14994,-9922,48:51.6,,no_icon
