id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,Wifi1,Wifi2,Wifi3,Wifi4,Wifi5,Wifi6,Wifi7,Wifi8,DroneHeading,Battery,Voltage,Current,Date,Method,symbol
2622,151.2269147,-33.93123199,10.30000019,0,0,0,0,0,0,0,0,0,0,0,-8.2,0,0,0,58:57.6,,no_icon
2623,151.2269146,-33.93123195,10.19999981,0,0,0,0,0,0,0,0,0,0,0,-8,48,14526,-11141,58:57.7,,no_icon
2624,151.2269145,-33.93123191,10.19999981,0,0,0,0,0,0,0,0,0,0,0,-8,48,14526,-11141,58:57.8,,no_icon
2625,151.2269146,-33.93123197,10.19999981,0,0,0,0,0,0,0,0,0,0,0,-8.3,48,14526,-11141,58:57.9,,no_icon
2626,151.2269146,-33.93123204,10.19999981,0,0,0,0,0,0,0,0,0,0,0,-8.6,48,14526,-11141,58:58.0,,no_icon
2627,151.2269146,-33.93123205,10.19999981,0,0,0,0,0,0,0,0,0,0,0,-8.8,48,14526,-11141,58:58.1,,no_icon
2628,151.2269147,-33.93123223,10.19999981,-0.100000001,0,0,0,0,0,0,0,0,0,0,-8.9,48,14526,-11141,58:58.2,,no_icon
2629,151.2269148,-33.93123232,10.30000019,-0.100000001,0,0,0,0,0,0,0,0,0,0,-8.8,48,14526,-11141,58:58.3,,no_icon
2630,151.2269149,-33.9312324,10.30000019,-0.100000001,0,0,0,0,0,0,0,0,0,0,-8.7,48,14526,-11141,58:58.4,,no_icon
2631,151.2269151,-33.9312326,10.30000019,0,0,0,-97,-97,-100,-100,-101,-97,-102,-108,-8.5,48,14526,-11141,58:58.5,,no_icon
2632,151.2269152,-33.93123268,10.19999981,0,0,0,-97,-97,-100,-100,-101,-97,-102,-108,-8.2,48,14526,-11141,58:58.6,,no_icon
2633,151.2269153,-33.93123279,10.19999981,0,0,0,-97,-97,-100,-100,-101,-97,-102,-108,-8.1,48,14526,-11422,58:58.7,,no_icon
2634,151.2269153,-33.93123285,10.19999981,0,0,0,-97,-97,-100,-100,-101,-97,-102,-108,-7.9,48,14526,-11422,58:58.8,,no_icon
2635,151.2269153,-33.93123297,10.19999981,0,0,0,-97,-97,-100,-100,-101,-97,-102,-108,-7.8,48,14526,-11422,58:58.9,10,googleblank
2636,151.2269152,-33.93123296,10.19999981,0,0,0,-97,-97,-100,-100,-101,-97,-102,-108,-7.8,48,14526,-11422,58:59.0,10,no_icon
2637,151.2269152,-33.93123293,10.19999981,0,-0.100000001,0,-97,-97,-100,-100,-101,-97,-102,-108,-8,48,14526,-11422,58:59.1,10,no_icon
2638,151.2269151,-33.93123288,10.19999981,0,-0.100000001,0,-97,-97,-100,-100,-101,-97,-102,-108,-8.3,48,14526,-11422,58:59.2,10,no_icon
2639,151.226915,-33.93123292,10.19999981,0,0,-0.100000001,-97,-97,-100,-100,-101,-97,-102,-108,-7.9,48,14526,-11422,58:59.3,10,no_icon
2640,151.2269154,-33.93123285,10.19999981,0.100000001,0.5,0,-97,-97,-100,-100,-101,-97,-102,-108,-8.9,48,14526,-11422,58:59.5,10,no_icon
2641,151.2269162,-33.93123275,10.19999981,0.200000003,0.899999976,0,-98,-102,-98,-98,-101,-101,-102,-108,-9.3,48,14526,-11422,58:59.5,10,no_icon
2642,151.2269162,-33.93123275,10.19999981,0.200000003,0.899999976,0,-98,-102,-98,-98,-101,-101,-102,-108,-9.3,48,14526,-11422,58:59.6,10,no_icon
2643,151.2269195,-33.93123177,10.19999981,0.600000024,1.799999952,0,-98,-102,-98,-98,-101,-101,-102,-108,-8.4,48,14553,-10180,58:59.7,10,no_icon
2644,151.2269217,-33.93123121,10.19999981,0.699999988,2.299999952,0,-98,-102,-98,-98,-101,-101,-102,-108,-8.5,48,14553,-10180,58:59.8,10,no_icon
2645,151.2269247,-33.9312305,10.19999981,0.699999988,2.599999905,0.100000001,-98,-102,-98,-98,-101,-101,-102,-108,-8.6,48,14553,-10180,58:59.9,10,no_icon
2646,151.2269278,-33.93122975,10.19999981,0.800000012,3,0.100000001,-98,-102,-98,-98,-101,-101,-102,-108,-8.8,48,14553,-10180,59:00.0,10,no_icon
2647,151.2269315,-33.93122878,10.10000038,0.899999976,3.299999952,0.100000001,-98,-102,-98,-98,-101,-101,-102,-108,-8.9,48,14553,-10180,59:00.1,10,no_icon
2648,151.2269354,-33.93122795,10.10000038,0.899999976,3.700000048,0.100000001,-98,-102,-98,-98,-101,-101,-102,-108,-8.7,48,14553,-10180,59:00.2,10,no_icon
2649,151.2269405,-33.93122695,10.10000038,0.899999976,4,0,-98,-102,-98,-98,-101,-101,-102,-108,-8.5,48,14553,-10180,59:00.3,10,no_icon
2650,151.2269446,-33.93122612,10.10000038,0.899999976,4.400000095,0,-98,-102,-98,-98,-101,-101,-102,-108,-9,48,14553,-10180,59:00.4,10,no_icon
2651,151.2269506,-33.93122502,10.10000038,1,4.800000191,0.100000001,-100,-102,-102,-101,-101,-102,-103,-108,-9.8,48,14553,-10180,59:00.5,10,no_icon
2652,151.2269561,-33.93122403,10.10000038,1.100000024,5.199999809,0,-100,-102,-102,-101,-101,-102,-103,-108,-10.5,48,14553,-10180,59:00.6,10,no_icon
2653,151.2269629,-33.93122272,10.10000038,1.200000048,5.5,0,-100,-102,-102,-101,-101,-102,-103,-108,-10.5,48,14471,-11473,59:00.7,10,no_icon
2654,151.2269692,-33.9312216,10.10000038,1.200000048,5.800000191,0,-100,-102,-102,-101,-101,-102,-103,-108,-10.5,48,14471,-11473,59:00.8,10,no_icon
2655,151.2269767,-33.93122032,10.10000038,1.200000048,6.199999809,0,-100,-102,-102,-101,-101,-102,-103,-108,-10.4,48,14471,-11473,59:00.9,10,no_icon
2656,151.2269837,-33.93121901,10,1.200000048,6.5,0,-100,-102,-102,-101,-101,-102,-103,-108,-10.3,48,14471,-11473,59:01.0,10,no_icon
2657,151.226992,-33.93121772,10.10000038,1.299999952,6.800000191,0,-100,-102,-102,-101,-101,-102,-103,-108,-10.2,48,14471,-11473,59:01.1,10,no_icon
2658,151.2269997,-33.93121653,10.10000038,1.299999952,7.099999905,0,-100,-102,-102,-101,-101,-102,-103,-108,-9.9,48,14471,-11473,59:01.2,10,no_icon
2659,151.2270086,-33.93121518,10.10000038,1.299999952,7.400000095,0,-100,-102,-102,-101,-101,-102,-103,-108,-9.5,48,14471,-11473,59:01.3,10,no_icon
2660,151.2270168,-33.93121398,10.10000038,1.299999952,7.699999809,0,-100,-102,-102,-101,-101,-102,-103,-108,-9,48,14471,-11473,59:01.4,10,no_icon
2661,151.2270262,-33.93121278,10.10000038,1.299999952,8,0,-101,-102,-101,-101,-99,-102,-102,-108,-9,48,14471,-11473,59:01.6,10,no_icon
2662,151.2270352,-33.93121148,10.10000038,1.399999976,8.199999809,0,-101,-102,-101,-101,-99,-102,-102,-108,-9.3,48,14471,-11473,59:01.6,10,no_icon
2663,151.2270451,-33.93121021,10.10000038,1.399999976,8.5,0,-101,-102,-101,-101,-99,-102,-102,-108,-9.4,47,14446,-12450,59:01.7,10,no_icon
2664,151.2270546,-33.93120885,10,1.5,8.800000191,0,-101,-102,-101,-101,-99,-102,-102,-108,-9,47,14446,-12450,59:01.8,10,no_icon
2665,151.227065,-33.93120761,10.10000038,1.5,9,0,-101,-102,-101,-101,-99,-102,-102,-108,-8.4,47,14446,-12450,59:01.9,10,no_icon
2666,151.2270752,-33.93120625,10,1.5,9.199999809,0,-101,-102,-101,-101,-99,-102,-102,-108,-8,47,14446,-12450,59:02.0,10,no_icon
2667,151.2270861,-33.93120487,10,1.399999976,9.399999619,0,-101,-102,-101,-101,-99,-102,-102,-108,-7.8,47,14446,-12450,59:02.1,10,no_icon
2668,151.2270964,-33.93120357,10,1.399999976,9.5,0,-101,-102,-101,-101,-99,-102,-102,-108,-7.6,47,14446,-12450,59:02.2,10,no_icon
2669,151.2271075,-33.93120246,10,1.299999952,9.5,0,-101,-102,-101,-101,-99,-102,-102,-108,-7.7,47,14446,-12450,59:02.3,10,no_icon
2670,151.2271179,-33.93120122,10.10000038,1.299999952,9.5,0,-101,-102,-101,-101,-99,-102,-102,-108,-7.9,47,14446,-12450,59:02.4,10,no_icon
2671,151.2271288,-33.93120009,10.10000038,1.299999952,9.5,0,-102,-102,-102,-101,-101,-101,-102,-108,-8.1,47,14446,-12450,59:02.6,10,no_icon
2672,151.2271288,-33.93120009,10.10000038,1.299999952,9.5,0,-102,-102,-102,-101,-101,-101,-102,-108,-8.1,47,14446,-12450,59:02.6,10,no_icon
2673,151.2271503,-33.93119772,10.10000038,1.399999976,9.600000381,0,-102,-102,-102,-101,-101,-101,-102,-108,-8.5,47,14462,-11802,59:02.7,10,no_icon
2674,151.2271608,-33.93119642,10.10000038,1.399999976,9.600000381,0,-102,-102,-102,-101,-101,-101,-102,-108,-8.5,47,14462,-11802,59:02.8,10,no_icon
2675,151.2271719,-33.93119515,10.10000038,1.399999976,9.699999809,0,-102,-102,-102,-101,-101,-101,-102,-108,-8.7,47,14462,-11802,59:02.9,10,no_icon
