id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,Wifi1,Wifi2,Wifi3,Wifi4,Wifi5,Wifi6,Wifi7,Wifi8,DroneHeading,Battery,Voltage,Current,Date,Method
202,151.228417392915,-33.9310520084667,10.1999998092651,-2.90000009536743,9.19999980926514,0.0,-102,-96,-102,-102,-102,-96,-102,-108,96.8,67,15214,-9167,"2016-10-19 14:14:42.701",1.0
203,151.228427520034,-33.9310546287435,10.3000001907349,-2.90000009536743,9.30000019073486,0.0,-102,-96,-102,-102,-102,-96,-102,-108,96.9,67,15214,-9167,"2016-10-19 14:14:42.801",1.0
204,151.228437624359,-33.9310575407587,10.3000001907349,-2.90000009536743,9.30000019073486,0.0,-102,-96,-102,-102,-102,-96,-102,-108,96.9,67,15214,-9167,"2016-10-19 14:14:42.906",1.0
205,151.228447471334,-33.9310603619925,10.1999998092651,-2.59999990463257,9.30000019073486,0.100000001490116,-102,-96,-102,-102,-102,-96,-102,-108,98.1,67,15187,-9998,"2016-10-19 14:14:43.011",1.0
206,151.228457559104,-33.9310627694543,10.1999998092651,-2.20000004768372,9.39999961853027,0.0,-102,-96,-102,-102,-102,-96,-102,-108,98.0,67,15187,-9998,"2016-10-19 14:14:43.104",1.0
207,151.228457559104,-33.9310627694543,10.1999998092651,-2.20000004768372,9.39999961853027,0.0,-102,-96,-102,-102,-102,-96,-102,-108,98.0,67,15187,-9998,"2016-10-19 14:14:43.204",1.0
208,151.228478068282,-33.9310663981436,10.1999998092651,-1.20000004768372,9.39999961853027,0.0,-102,-96,-102,-102,-102,-96,-102,-108,98.4,67,15187,-9998,"2016-10-19 14:14:43.303",1.0
209,151.228488422605,-33.9310672793381,10.1999998092651,-0.699999988079071,9.5,0.0,-101,-101,-97,-102,-102,-101,-102,-108,98.6,67,15187,-9998,"2016-10-19 14:14:43.406",1.0
210,151.228498868413,-33.9310675535252,10.1999998092651,-0.300000011920929,9.60000038146973,0.0,-101,-101,-97,-102,-102,-101,-102,-108,98.8,67,15187,-9998,"2016-10-19 14:14:43.508",1.0
211,151.228509335117,-33.9310680801435,10.1999998092651,0.0,9.60000038146973,0.0,-101,-101,-97,-102,-102,-101,-102,-108,98.7,67,15187,-9998,"2016-10-19 14:14:43.608",1.0
