id,Longitude,Latitude,Altitude,HomeLongitudeINTEGER,HomeLatitudeINTEGER,VelocityX,VelocityY,VelocityZ,Wifi1,Wifi2,Wifi3,Wifi4,Wifi5,Wifi6,Wifi7,Wifi8,DroneHeading,Battery,Voltage,Current,Date,Method
3144,151.227834806013,-33.9314633244449,11.1999998092651,,,0.200000002980232,-0.100000001490116,0.100000001490116,-100,-102,-102,-98,-101,-99,-103,-108,70.7,97,15744,-12021,"2016-09-07 16:10:40.351","hover With wind"
3145,151.227833722634,-33.9314631411374,11.1999998092651,,,0.200000002980232,-0.200000002980232,0.0,-100,-102,-102,-98,-101,-99,-103,-108,70.4,97,15744,-12021,"2016-09-07 16:10:40.437","hover With wind"
3146,151.227833472694,-33.931462978282,11.1999998092651,,,0.100000001490116,-0.200000002980232,0.0,-100,-102,-102,-98,-101,-99,-103,-108,70.1,97,15744,-12021,"2016-09-07 16:10:40.538","hover With wind"
3147,151.227831950295,-33.9314626726306,11.1999998092651,,,0.100000001490116,-0.200000002980232,0.0,-100,-102,-102,-98,-101,-99,-103,-108,69.8,97,15744,-12021,"2016-09-07 16:10:40.638","hover With wind"
3148,151.227831739479,-33.9314625872068,11.1999998092651,,,0.0,-0.100000001490116,0.0,-100,-102,-102,-98,-101,-99,-103,-108,69.6,97,15744,-12021,"2016-09-07 16:10:40.751","hover With wind"
3149,151.22783108485,-33.9314626573741,11.1999998092651,,,0.0,-0.100000001490116,0.100000001490116,-75,-101,-102,-102,-101,-98,-102,-108,69.3,97,15744,-12021,"2016-09-07 16:10:40.838","hover With wind"
3150,151.227830397182,-33.9314625088501,11.1999998092651,,,0.0,0.0,0.0,-75,-101,-102,-102,-101,-98,-102,-108,69.2,97,16056,-7019,"2016-09-07 16:10:40.939","hover With wind"
3151,151.227829927355,-33.9314625632978,11.1999998092651,,,0.0,0.0,0.0,-75,-101,-102,-102,-101,-98,-102,-108,69.4,97,16056,-7019,"2016-09-07 16:10:41.038","hover With wind"
3152,151.227829929344,-33.9314626012225,11.1999998092651,,,0.0,0.0,0.0,-75,-101,-102,-102,-101,-98,-102,-108,69.5,97,16056,-7019,"2016-09-07 16:10:41.138","hover With wind"
3153,151.227829290468,-33.9314627379316,11.1999998092651,,,0.0,0.0,0.0,-75,-101,-102,-102,-101,-98,-102,-108,69.7,97,16056,-7019,"2016-09-07 16:10:41.238","hover With wind"
3154,151.227829394762,-33.9314627967685,11.1999998092651,,,0.0,0.100000001490116,0.0,-75,-101,-102,-102,-101,-98,-102,-108,69.8,97,16056,-7019,"2016-09-07 16:10:41.339","hover With wind"
3155,151.227829486657,-33.9314630604259,11.1999998092651,,,0.0,0.100000001490116,0.0,-75,-101,-102,-102,-101,-98,-102,-108,69.9,97,16056,-7019,"2016-09-07 16:10:41.439","hover With wind"
3156,151.227829251203,-33.9314631114599,11.1999998092651,,,0.0,0.200000002980232,0.0,-75,-101,-102,-102,-101,-98,-102,-108,70.0,97,16056,-7019,"2016-09-07 16:10:41.539","hover With wind"
3157,151.227829532852,-33.9314632590361,11.1999998092651,,,0.0,0.200000002980232,0.0,-75,-101,-102,-102,-101,-98,-102,-108,70.0,97,16056,-7019,"2016-09-07 16:10:41.640","hover With wind"
3158,151.227829834588,-33.9314633428743,11.1999998092651,,,0.0,0.300000011920929,0.0,-75,-101,-102,-102,-101,-98,-102,-108,70.0,97,16056,-7019,"2016-09-07 16:10:41.740","hover With wind"
3159,151.227830033855,-33.931463560544,11.1999998092651,,,0.0,0.300000011920929,0.0,-100,-102,-92,-98,-88,-80,-103,-108,70.1,97,16056,-7019,"2016-09-07 16:10:41.843","hover With wind"
3160,151.227830416049,-33.9314636348344,11.1999998092651,,,0.0,0.300000011920929,0.0,-100,-102,-92,-98,-88,-80,-103,-108,70.0,97,15907,-9129,"2016-09-07 16:10:41.941","hover With wind"
3161,151.227830830103,-33.9314637000929,11.1999998092651,,,0.0,0.300000011920929,0.0,-100,-102,-92,-98,-88,-80,-103,-108,70.0,97,15907,-9129,"2016-09-07 16:10:42.061","hover With wind"
3162,151.227831159829,-33.9314637850533,11.1999998092651,,,0.0,0.300000011920929,0.0,-100,-102,-92,-98,-88,-80,-103,-108,70.0,97,15907,-9129,"2016-09-07 16:10:42.140","hover With wind"
3163,151.227831734444,-33.9314638717406,11.1999998092651,,,0.0,0.300000011920929,0.0,-100,-102,-92,-98,-88,-80,-103,-108,70.0,97,15907,-9129,"2016-09-07 16:10:42.240","hover With wind"
3164,151.227832123098,-33.9314639462849,11.1999998092651,,,0.0,0.300000011920929,0.0,-100,-102,-92,-98,-88,-80,-103,-108,69.9,97,15907,-9129,"2016-09-07 16:10:42.341","hover With wind"
