id,Longitude,Latitude,Altitude,HomeLongitudeINTEGER,HomeLatitudeINTEGER,VelocityX,VelocityY,VelocityZ,Wifi1,Wifi2,Wifi3,Wifi4,Wifi5,Wifi6,Wifi7,Wifi8,DroneHeading,Battery,Voltage,Current,Date,Method
110,151.227555970544,-33.9315721844315,10,,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,124.6,0,0,0,"2016-09-07 15:53:06.691","zigzag 1d"
111,151.227555832344,-33.9315722105626,10,,,0.0,0.0,0.0,-100,-94,-98,-101,-98,-94,-102,-108,124.6,0,0,0,"2016-09-07 15:53:06.773","zigzag 1d"
112,151.227555761972,-33.9315721532674,10,,,0.0,-0.100000001490116,0.0,-100,-94,-98,-101,-98,-94,-102,-108,124.6,91,15879,-9804,"2016-09-07 15:53:06.874","zigzag 1d"
113,151.2275557145,-33.9315721618779,10,,,0.0,-0.100000001490116,0.0,-100,-94,-98,-101,-98,-94,-102,-108,124.6,91,15879,-9804,"2016-09-07 15:53:06.989","zigzag 1d"
114,151.227555726665,-33.9315721462375,10,,,0.0,-0.100000001490116,0.0,-100,-94,-98,-101,-98,-94,-102,-108,124.5,91,15879,-9804,"2016-09-07 15:53:07.076","zigzag 1d"
115,151.227555508548,-33.9315722077137,10.1000003814697,,,0.0,0.0,0.0,-100,-94,-98,-101,-98,-94,-102,-108,124.5,91,15879,-9804,"2016-09-07 15:53:07.175","zigzag 1d"
116,151.22755549726,-33.9315721665065,10,,,0.0,-0.100000001490116,0.0,-100,-94,-98,-101,-98,-94,-102,-108,124.4,91,15879,-9804,"2016-09-07 15:53:07.275","zigzag 1d"
117,151.227555326548,-33.9315720294826,10,,,0.0,0.0,0.0,-100,-94,-98,-101,-98,-94,-102,-108,124.5,91,15879,-9804,"2016-09-07 15:53:07.375","zigzag 1d"
118,151.227555322852,-33.9315719958313,10,,,0.0,0.0,0.0,-100,-94,-98,-101,-98,-94,-102,-108,124.5,91,15879,-9804,"2016-09-07 15:53:07.477","zigzag 1d"
119,151.227555094648,-33.9315719526627,10,,,0.0,0.0,0.0,-100,-94,-98,-101,-98,-94,-102,-108,124.5,91,15879,-9804,"2016-09-07 15:53:07.579","zigzag 1d"
120,151.227555050243,-33.9315718618958,10,,,0.0,0.0,0.0,-100,-94,-98,-101,-98,-94,-102,-108,124.6,91,15879,-9804,"2016-09-07 15:53:07.678","zigzag 1d"
121,151.22755493264,-33.9315716486856,10,,,0.100000001490116,0.0,0.0,-89,-102,-97,-100,-93,-96,-102,-108,124.5,91,15879,-9804,"2016-09-07 15:53:07.777","zigzag 1d"
122,151.227554875126,-33.9315715494925,10,,,0.100000001490116,0.0,0.0,-89,-102,-97,-100,-93,-96,-102,-108,124.6,91,15879,-9804,"2016-09-07 15:53:07.877","zigzag 1d"
123,151.227554821613,-33.9315713737866,10,,,0.100000001490116,0.0,0.0,-89,-102,-97,-100,-93,-96,-102,-108,124.6,91,15879,-9804,"2016-09-07 15:53:07.978","zigzag 1d"
124,151.227554777871,-33.9315712834125,10,,,0.0,0.0,0.0,-89,-102,-97,-100,-93,-96,-102,-108,124.6,91,15879,-9804,"2016-09-07 15:53:08.076","zigzag 1d"
125,151.227554770596,-33.9315711810357,10,,,0.0,0.0,0.0,-89,-102,-97,-100,-93,-96,-102,-108,124.6,91,15879,-9804,"2016-09-07 15:53:08.176","zigzag 1d"
126,151.227554735958,-33.9315711104904,10.1000003814697,,,0.0,0.0,0.0,-89,-102,-97,-100,-93,-96,-102,-108,124.7,91,15879,-9804,"2016-09-07 15:53:08.277","zigzag 1d"
127,151.22755469044,-33.931571047562,10.1000003814697,,,0.0,0.0,0.0,-89,-102,-97,-100,-93,-96,-102,-108,124.7,91,15879,-9804,"2016-09-07 15:53:08.394","zigzag 1d"
128,151.227554670313,-33.9315710479958,10,,,0.0,0.0,0.0,-89,-102,-97,-100,-93,-96,-102,-108,124.6,91,15879,-9804,"2016-09-07 15:53:08.478","zigzag 1d"
